variavel: Total das Receitas;;;;;;;;;
caminho: /Finanças Públicas/Tributos Federais/Total das Receitas;;;;;;;;;
fonte: Ministério da Fazenda - Secretaria da Receita Federal. ;;;;;;;;;
agrupador: Município;;;;;;;;;
descricao: ;;;;;;;;;
Município;ibge;latitude;longitude;2010 (R$);2011 (R$);2012 (R$);2013 (R$);2014 (R$);2015 (R$)
Cachoeira do Sul;4303004;-30,033;-52,8928;87117446;94026190;128567778;136956209;149012847;149449005
Cachoeirinha;4303103;-29,94719999999;-51,10159999999;1641235419;1724497450;1952750337;2239551168;2231632479;1943145394
Cacique Doble;4303202;-27,76699999999;-51,6597;1296302;1404031;2134298;2387233;2814168;3395159
Caibaté;4303301;-28,2905;-54,6454;5224397;6309333;7447296;8432165;9394932;10408732
Caiçara;4303400;-27,2791;-53,42569999999;889266;1074023;1744685;2114166;2027198;2395505
Camaquã;4303509;-30,8489;-51,80429999999;92616176;104611791;126210974;156574685;183564144;177030427
Camargo;4303558;-28,588;-52,20029999999;2542510;3109726;4911737;6153471;7729187;10031046
Cambará do Sul;4303608;-29,0474;-50,1465;10759020;10145928;11163649;8417833;8907251;10061288
Campestre da Serra;4303673;-28,7926;-51,09409999999;7779122;10748097;15800197;20191724;27456149;30892382
Campina das Missões;4303707;-27,9888;-54,8417;2079478;2329887;3701237;4175110;4950677;4989816
Campinas do Sul;4303806;-27,7174;-52,6248;4807177;5765347;8886706;9275772;9945268;10802434
Campo Bom;4303905;-29,6747;-51,0606;271040050;329797428;419590176;527884571;656535160;531832318
Campo Novo;4304002;-27,6792;-53,80519999999;9465466;12239742;15745962;17661867;19853959;25334884
Campos Borges;4304101;-28,8871;-53,00079999999;1694331;2046038;2756145;3392749;3779159;4494921
Candelária;4304200;-29,66839999999;-52,78949999999;16559995;19315907;28751032;32435102;33010340;34613824
Cândido Godói;4304309;-27,95149999999;-54,7517;3973057;4830908;6990259;8718385;11419107;11138826
Candiota;4304358;-31,5515;-53,6773;38226356;40582846;43556072;39751285;39061024;41964061
Canela;4304408;-29,356;-50,8119;39870108;45445375;80561737;92593920;99744342;109592023
Canguçu;4304507;-31,396;-52,67819999999;17013480;19759029;30886471;35523205;39157221;43010890
Canoas;4304606;-29,9128;-51,18569999999;2624946570;2312592310;1885268878;2033340096;2017403804;1389022002
Canudos do Vale;4304614;-29,3187;-52,23449999999;818434;951416;1208887;1283865;1609793;1887201
Capão Bonito do Sul;4304622;-29,76419999999;-50,02819999999;1681045;2283558;2460138;2818475;2872826;3393645
Capão da Canoa;4304630;-29,6397;-49,95989999999;49149221;62184488;82005017;91389361;106616332;107616921
Capão do Cipó;4304655;-28,904;-54,7;2368938;3115951;3129770;4274356;5047995;5454669
Capão do Leão;4304663;-31,75649999999;-52,4889;19302126;20991773;28476593;32262489;35075959;36416716
Capela de Santana;4304689;-29,6961;-51,328;5844167;5974847;11344507;17638146;20639777;20348288
Capitão;4304697;-29,26739999999;-51,9853;1446130;1633512;2685570;3012112;3243644;3619686
Capivari do Sul;4304671;-30,1382;-50,51509999999;10091332;9451960;12772863;15891416;14548956;14574574
Caraá;4304713;-29,78689999999;-50,4316;884984;1018739;1840372;2169177;2229503;2665821
Carazinho;4304705;-28,2958;-52,7933;117151174;134009827;179948899;209360984;206074001;212340792
Carlos Barbosa;4304804;-29,2969;-51,50289999999;228749461;294628268;344746497;395394546;428407884;502448906
Carlos Gomes;4304853;-27,71669999999;-51,9121;840496;817390;1003985;1407501;1390730;1417749
Casca;4304903;-28,5605;-51,98149999999;29255612;32927131;40992779;42819196;49913691;46794256
Caseiros;4304952;-28,25819999999;-51,6861;1741382;1639006;3373779;2674651;3076405;3461648
Catuípe;4305009;-28,2554;-54,01319999999;6679647;7241109;10036519;11304894;12452910;13277459
Caxias do Sul;4305108;-29,1629;-51,1792;2905340234;3482230469;3694955342;3905634787;3795848749;3525457096
Centenário;4305116;-27,7616;-51,99839999999;1159314;1414289;2035511;2234107;2663630;2966464
Cerrito;4305124;-31,84189999999;-52,8004;1453511;1661819;2339415;2769773;3470666;3468980
Cerro Branco;4305132;-29,657;-52,9406;1079198;1103349;1752892;2165488;2532708;2276985
Cerro Grande;4305157;-27,6106;-53,1672;517001;640151;947476;1189304;1417365;1702692
Cerro Grande do Sul;4305173;-30,59049999999;-51,74179999999;4517506;4546929;6872703;7686026;8108189;7461367
Cerro Largo;4305207;-28,1462;-54,7428;52967206;73259631;88375320;100298308;120354371;123936899
Chapada;4305306;-28,0559;-53,06649999999;8129205;8959401;12968841;15592203;15717678;17788555
Charqueadas;4305355;-29,9625;-51,6289;56806453;69015901;81255963;82722208;87129840;87356655
Charrua;4305371;-27,9493;-52,015;1324139;1712554;2021855;2172593;2456179;2793699
