variavel: Arrecadação Total;;;;;;;;;;;;
caminho: /Finanças Públicas/Tributos Estaduais/Arrecadação Total;;;;;;;;;;;;
fonte: Secretaria da Fazenda do Rio Grande do Sul. ;;;;;;;;;;;;
agrupador: Município;;;;;;;;;;;;
descricao: ;;;;;;;;;;;;
Município;ibge;latitude;longitude;2010 (R$);2011 (R$);2012 (R$);2013 (R$);2014 (R$);2015 (R$);2016 (R$);2017 (R$);2018 (R$)
Jaquirana;4311122;-28,8811;-50,3637;949178;1762365;1152013;1511663;1520715;1623648;1037722;974476;1371892
Jari;4311130;-29,2922;-54,2237;317984;277198;276921;398312;473645;565440;635149;863669;979300
Jóia;4311155;-28,6435;-54,1141;1077492;1662809;1554038;2748822;2665348;2251272;2209637;2382130;2800371
Júlio de Castilhos;4311205;-29,2298;-53,67719999999;6492487;5092721;4865858;9379999;7730362;7896373;9639459;10343513;9894716
Lagoa Bonita do Sul;4311239;-29,48819999999;-53,0138;257785;251091;272238;298361;327150;344014;362886;362769;438147
Lagoa dos Três Cantos;4311270;-28,56759999999;-52,8618;306749;389538;390477;479086;599849;634556;724538;638320;703643
Lagoa Vermelha;4311304;-28,20929999999;-51,52479999999;22014676;16958516;16221201;20216166;19843193;23160527;20165078;696765;784414
Lagoão;4311254;-29,2348;-52,7997;392152;389267;430592;482922;586004;580148;578175;22463835;24680457
Lajeado;4311403;-29,45909999999;-51,96439999999;120134361;132798412;142456459;155260716;177286613;161283413;151147260;151193424;174966015
Lajeado do Bugre;4311429;-27,69129999999;-53,1818;129895;143346;173833;205446;326108;433280;330187;429063;608837
Lavras do Sul;4311502;-30,80709999999;-53,89309999999;1295737;1214961;1498913;2228837;1665546;2071412;1919589;1964265;2610047
Liberato Salzano;4311601;-27,60099999999;-53,07529999999;845648;640517;748893;766451;1063925;1101001;1096071;1633576;3759409
Lindolfo Collor;4311627;-29,58589999999;-51,2141;2477359;1316527;2964129;3590388;3303527;2332700;1680105;1695982;2021833
Linha Nova;4311643;-29,4679;-51,20029999999;313109;326549;340465;431038;505004;406158;380183;473148;502288
Maçambará;4311718;-29,1445;-56,06739999999;1007711;658843;1033436;1342871;2036765;1963633;2056142;2372488;4001070
Machadinho;4311700;-27,5667;-51,6668;1230320;1288777;1224323;1420266;2103871;1759925;1619797;1802641;2488694
Mampituba;4311734;-29,2136;-49,9311;513413;433328;525982;775162;691162;802845;878208;948468;819433
Manoel Viana;4311759;-29,58589999999;-55,48409999999;1296673;1406204;1750524;2107794;2435000;2119673;2132874;2457514;3129740
Maquiné;4311775;-29,6798;-50,2079;1823627;1963703;1525344;1519525;1568681;1917377;1978061;1922770;2186000
Maratá;4311791;-29,5457;-51,55729999999;2758606;3556406;3743732;3184374;3376577;3162939;2483195;932576;999762
Marau;4311809;-28,4498;-52,19859999999;54027212;40213150;39738261;41336959;43531466;48574825;33144300;40179405;49186712
Marcelino Ramos;4311908;-27,4676;-51,9095;57142098;66457634;84753228;109488721;108534487;82522184;40134747;3863605;2912580
Mariana Pimentel;4311981;-30,3531;-51,5803;471018;527864;499506;532158;579861;704045;733711;884494;918003
Mariano Moro;4312005;-27,3568;-52,1467;417914;406139;471032;567013;582499;646562;726259;784513;928899
Marques de Souza;4312054;-29,33109999999;-52,09729999999;1101610;1391842;1668257;1823774;1992598;2377334;2363726;2328112;3170228
Mata;4312104;-29,5649;-54,4641;1672895;1499330;2651116;3936159;4013014;3810513;6698285;5835015;5799386
Mato Castelhano;4312138;-28,28;-52,19319999999;337074;502736;555984;581605;661072;665787;791723;844296;1081562
Mato Leitão;4312153;-29,5285;-52,1278;5738271;8873190;6952213;7429460;11833231;11615727;10638076;11723417;4188380
Mato Queimado;4312179;-28,2475;-54,61919999999;255856;231747;320974;326652;350248;401013;436022;440360;736543
Maximiliano de Almeida;4312203;-27,6325;-51,8021;1167068;1154132;1316958;1467390;1452019;1641891;2233633;2364047;2816493
Minas do Leão;4312252;-30,13459999999;-52,04229999999;1928887;2080261;1883051;2303880;2367521;2530063;3310679;3593275;3644479
Miraguaí;4312302;-27,497;-53,6891;794363;747326;1041252;2124742;2503602;2829584;3459304;4091199;4174290
Montauri;4312351;-28,6462;-52,0767;611479;703908;718686;953063;1113169;1049264;1228352;1613574;2189262
Monte Alegre dos Campos;4312377;-28,68049999999;-50,7834;284007;242340;955720;564210;596276;766410;859964;1148737;882501
Monte Belo do Sul;4312385;-29,16069999999;-51,63329999999;1500543;1377534;2121891;2317455;3290458;2728110;2651053;2323302;3194652
Montenegro;4312401;-29,6824;-51,4679;64040214;75865888;117061937;111958702;108923425;117887805;114928325;137080419;186520533
Mormaço;4312427;-28,6968;-52,6999;240262;251976;321307;366753;638938;560243;526981;634065;1076725
Morrinhos do Sul;4312443;-29,3578;-49,9328;1077251;1030853;1097937;1306677;1550601;1902572;1740439;1665270;1885860
Morro Redondo;4312450;-31,58869999999;-52,6261;4464445;3949034;5039835;6199752;5965778;5469190;4133444;3897947;4993629
Morro Reuter;4312476;-29,5379;-51,08109999999;3468117;3882869;5396151;7421394;9056047;9272422;9320370;9170181;9313211
Mostardas;4312500;-31,10539999999;-50,91669999999;9167186;9361470;9595970;11596516;11633348;10128141;11998504;9832808;11785965
Muçum;4312609;-29,163;-51,8714;1699604;2352068;3365735;1968417;2949958;3097847;3017680;3277328;4271775
Muitos Capões;4312617;-28,31319999999;-51,18359999999;1144600;1128130;2044211;1428191;3272374;4681585;1997843;1456910;1950103
Muliterno;4312625;-28,32529999999;-51,7697;272226;316589;319982;411396;431215;549709;599074;565159;663273
Não-Me-Toque;4312658;-28,45479999999;-52,81819999999;7981657;9401743;10174770;15547630;16998366;15888827;16146286;17120082;17390297
Nicolau Vergueiro;4312674;-28,5298;-52,46759999999;285698;255523;355425;414827;501476;592858;609603;591892;654678
Nonoai;4312708;-27,3689;-52,77559999999;19434813;16590581;22537278;30730263;31257524;31718546;23991849;20676628;24670121
Nova Alvorada;4312757;-28,6822;-52,1631;3216875;4030936;5020468;6374958;8509096;9702081;10938467;13351917;14941031
Nova Araçá;4312807;-28,6537;-51,7458;2441913;2207742;2389545;3152844;3153508;4396613;3663349;2725764;3862368
Nova Bassano;4312906;-28,72909999999;-51,7072;13201529;25778458;27386586;26910800;27554663;27173268;12873581;8564068;9505581
Nova Boa Vista;4312955;-27,99259999999;-52,9784;775309;727598;1262365;1443460;1529854;2150672;2896066;3547449;4545112
Nova Bréscia;4313003;-29,2182;-52,0319;1071863;861158;853913;918062;994566;1161908;1345863;1391604;2090500
Nova Candelária;4313011;-27,6137;-54,10739999999;2433928;1956084;2144693;2619336;2891764;5614898;8331644;8940383;9201828
Nova Esperança do Sul;4313037;-29,4066;-54,8293;629417;717572;911724;981964;989674;1100111;1116858;1409525;1690938
Nova Hartz;4313060;-29,5807;-50,90509999999;38755034;50235277;44462819;35271626;40164525;36273629;30617219;26088230;27426757
Nova Pádua;4313086;-29,0275;-51,3098;1852706;1884854;2236887;2476191;2632001;3995971;4168924;4454635;4101510
Nova Palma;4313102;-29,471;-53,46889999999;3043637;3244216;4374542;5025046;5055987;4696297;6918082;6866309;6578355
Nova Petrópolis;4313201;-29,37409999999;-51,1135;18788339;23791057;32318071;41118004;35281909;36905002;56069117;38403694;73817958
Nova Prata;4313300;-28,7799;-51,6113;35827852;29408841;28938424;32857763;35969545;53472254;77369042;70438126;72227748
Nova Ramada;4313334;-28,0667;-53,69919999999;213637;330545;782908;1842279;2854288;5941726;15269111;15520948;15675408
Nova Roma do Sul;4313359;-28,98819999999;-51,4095;5712986;5201483;5826588;5751921;6109347;6144981;6279446;7154643;8629456
Nova Santa Rita;4313375;-29,85249999999;-51,2837;52309157;66694627;91959009;113160735;151471247;231705302;279784662;362687872;344855518
Novo Barreiro;4313490;-27,90769999999;-53,1103;551116;460380;683656;805254;1258976;1221266;1306071;1374466;1348194
Novo Cabrais;4313391;-29,73379999999;-52,9489;734922;727824;746096;801315;863439;1028786;1080709;1101632;1430229
Novo Hamburgo;4313409;-29,6876;-51,1328;328073898;335408984;360671185;408615801;426537905;422672333;425077700;464315302;508374606
Novo Machado;4313425;-27,57649999999;-54,50359999999;340365;369565;487278;692277;553938;597889;672828;740745;1090281
Novo Tiradentes;4313441;-27,5649;-53,1837;202271;215327;210735;229325;302299;285204;514885;467191;499455
Novo Xingu;4313466;-27,74309999999;-53,06159999999;167409;184511;195209;227220;248354;268299;306351;306967;383884
Osório;4313508;-29,8881;-50,2667;31383722;44296541;53521964;63415789;72095687;62905215;54564638;63959627;61719361
Paim Filho;4313607;-27,7075;-51,76299999999;731380;683452;707363;791904;876793;1062991;1289508;1034918;1346002
Palmares do Sul;4313656;-30,25349999999;-50,5103;9134874;7330791;9716186;14267333;15648924;12689626;15761564;14845161;14893571
Palmeira das Missões;4313706;-27,9006;-53,3134;19466919;15768055;18186922;43625326;57485314;42373154;45992985;56655297;56796669
Palmitinho;4313805;-27,3596;-53,558;1815632;2101159;2130937;2277476;2894007;2574405;2714215;2682896;3742945
Panambi;4313904;-28,2833;-53,50229999999;31742926;33984685;32021644;40494696;47426419;51707020;48539556;59543453;74809213
Pantano Grande;4313953;-30,1901;-52,3729;8693248;9159214;9131659;11554497;11849904;11225804;11762646;11154347;10947101
Paraí;4314001;-28,59639999999;-51,7896;7261564;8449542;9698229;13657524;15028669;14979412;16020893;16937123;30339772
Paraíso do Sul;4314027;-29,6717;-53,14399999999;1491872;1532907;1320304;1374486;1527852;1679310;1742523;1755033;2085909
Pareci Novo;4314035;-29,6365;-51,39739999999;1399084;1378645;1737293;2247364;2719472;3652135;3970792;4414418;5424252
Parobé;4314050;-29,6243;-50,8312;29967274;36255021;32413037;34862226;36144288;30149884;32590405;34776149;35533978
Passa Sete;4314068;-29,45769999999;-52,95989999999;441950;503080;538796;879196;952210;735966;661548;657818;740835
Passo do Sobrado;4314076;-29,748;-52,27479999999;2939644;2907320;4371713;4125320;3824214;4010622;5567098;5316915;6351293
Passo Fundo;4314100;-28,2576;-52,4091;207012779;231119947;268163770;368105512;412534687;443067834;588025072;744550000;709747493
Paulo Bento;4314134;-27,6978;-52,42609999999;2815433;3520048;4285076;4716089;5327082;4433800;6287828;7560091;8416467
Paverama;4314159;-29,5485;-51,73389999999;1955592;2224453;2503954;3465183;4135895;3610932;3604030;4064659;5129601
Pedras Altas;4314175;-31,72169999999;-53,58379999999;279444;199258;268852;292038;441148;731629;455363;1634495;633173
Pedro Osório;4314209;-31,8642;-52,81839999999;1254722;1496745;1784280;1813514;2084930;2339234;2193635;2115543;2750740
Pejuçara;4314308;-28,4283;-53,65789999999;1353717;1226436;1044139;1186705;2103816;2159730;1805111;2279652;2733891
Pelotas;4314407;-31,7649;-52,3371;201804287;189530043;224045942;244218399;270476463;299429071;372012943;383959871;409834842
Picada Café;4314423;-29,4464;-51,13669999999;15376357;18699156;26136014;22984485;20767095;16456096;12714191;12534182;14941564
Pinhal;4314456;-27,50799999999;-53,20819999999;4485264;3917358;5156031;4948669;4720934;8428256;9590806;9524497;13285851
Pinhal da Serra;4314464;-27,86339999999;-51,1702;249888;228051;899950;279406;322677;356318;396634;333119;463809
Pinhal Grande;4314472;-29,34499999999;-53,3207;518910;494447;679673;704262;798534;932043;934518;970706;1395499
Pinheirinho do Vale;4314498;-27,21089999999;-53,60799999999;482413;468508;558651;571595;616631;652024;776461;758829;1005145
Pinheiro Machado;4314506;-31,5794;-53,3798;17705508;21071007;24574767;24803689;29444502;27431451;25723886;22780782;22754843
Pinto Bandeira;4314548;-29;-54;551572;654064;742186;1003088;2244817;2314330;2601162;2967462;3007252
Pirapó;4314555;-28,0439;-55,20009999999;295634;299765;283367;358911;375666;385343;346449;614376;498563
Piratini;4314605;-31,44729999999;-53,09729999999;2506682;3155044;12099596;3468132;3815417;3801992;3627953;3918798;4787854
Planalto;4314704;-27,32969999999;-53,0575;3073601;3681451;2892338;2785636;3027763;3396736;3517972;3860783;5216833
Poço das Antas;4314753;-29,4481;-51,6719;627413;611887;865786;3612131;6281231;7069178;7552477;8845143;9814143
Pontão;4314779;-28,05849999999;-52,67909999999;646750;564058;807340;1119224;1247918;1305715;1029481;1108369;1616800
Ponte Preta;4314787;-27,6587;-52,4848;283323;907910;455541;545192;763149;787968;996871;1317953;1450628
Portão;4314803;-29,70149999999;-51,24289999999;35159038;40923616;38258215;49495328;48597574;52986092;52050034;58902293;72711825
Porto Alegre;4314902;-30,032778;-51,23;6959974251;7246594405;8106749024;8945228939;9801569351;10557089153;8014726413;7166811041;6129915859
Porto Lucena;4315008;-27,8569;-55,00999999999;625815;561240;696452;767488;765635;867644;816167;1004548;1203914
Porto Mauá;4315057;-27,57959999999;-54,6657;281054;256867;246339;289463;384910;345253;510948;451181;619508
Porto Vera Cruz;4315073;-27,7405;-54,8994;114848;84436;110445;343533;144391;183509;188347;265092;284545
Porto Xavier;4315107;-27,9082;-55,1379;5851693;5701905;3096099;6827631;3843610;3374943;6420118;4993136;7452363
Pouso Novo;4315131;-29,1738;-52,2136;337343;380002;360151;374631;428588;543138;538156;550126;718707
Presidente Lucena;4315149;-29,5176;-51,1798;3232200;1584102;3028086;7731102;10531360;11145298;13084140;15437050;15934637
Progresso;4315156;-29,24419999999;-52,31969999999;933277;990168;1297997;1465484;2048892;2214231;1729454;1639998;1770168
Protásio Alves;4315172;-28,7572;-51,4757;293652;415830;402229;1008469;1455257;1149599;501639;607423;767367
Putinga;4315206;-29,0045;-52,1569;1599775;1687602;1862149;2292476;2351483;3241092;3784682;3572406;2999678
Quaraí;4315305;-30,384;-56,4483;6168411;5612910;6868739;7366415;8537559;9901661;11732933;11687694;14778083
Quatro Irmãos;4315313;-27,81629999999;-52,44189999999;163797;188060;199249;508585;574962;490978;272456;412547;434097
Quevedos;4315321;-29,3504;-54,07889999999;142598;218127;308056;335077;257282;675479;583250;380112;520939
Quinze de Novembro;4315354;-28,7465;-53,1011;642642;774557;928440;1142319;1676468;1960209;1617167;1870701;2277320
Redentora;4315404;-27,664;-53,6407;644085;748888;768452;1147899;1173117;1036760;1474683;1324428;2098446
Relvado;4315453;-29,11639999999;-52,0778;434346;450621;461086;459530;679148;530589;542274;648100;825660
Restinga Sêca;4315503;-29,8188;-53,38069999999;8634597;8811874;9603190;9710840;9135697;10132468;12133657;11720997;14078851
Rio dos Índios;4315552;-27,2973;-52,8417;290512;364145;428693;388098;412859;566824;628484;833518;693656
Rio Grande;4315602;-32,0349;-52,1071;382193392;145188124;118022836;134964559;148181259;452720526;709527397;716758111;1023670679
Rio Pardo;4315701;-29,988;-52,37109999999;17783716;12480232;14750186;17696789;17853466;19857046;20367162;24684081;27227598
Riozinho;4315750;-29,63899999999;-50,44879999999;6092074;6184767;5749244;8263757;7278279;8606721;5438352;4836604;4646750
Roca Sales;4315800;-29,28839999999;-51,8658;12798219;12498103;10064779;10981495;16791422;20798099;23976870;22460764;26734849
Rodeio Bonito;4315909;-27,4742;-53,1706;2253297;2970226;3343340;3459229;4016228;4633820;6172059;7838670;9176241
Rolador;4315958;-28,25767;-54,81864;164433;231957;202554;398751;950854;373448;591341;479005;630594
Rolante;4316006;-29,6462;-50,58189999999;14465034;19732704;21584503;21516031;20728935;20383587;22406416;22496055;24616988
Ronda Alta;4316105;-27,7758;-52,80559999999;2669540;2266244;2773459;3833504;4044376;4265090;4051655;4164490;5515475
Rondinha;4316204;-27,83149999999;-52,90809999999;1949033;1122858;2031091;2572813;2585304;3855197;5834751;5715409;4875769
Roque Gonzales;4316303;-28,1297;-55,0266;1111813;1044877;1102072;1123814;1324619;1291044;1679334;1365654;2140426
Rosário do Sul;4316402;-30,2515;-54,9221;18376401;24357210;20705848;22392343;23620588;23028520;23596500;21079725;23106304
Sagrada Família;4316428;-27,7085;-53,1351;158251;195140;200802;258764;344228;337315;371697;508059;634276
Saldanha Marinho;4316436;-28,3941;-53,097;648002;631246;666167;1000976;1202350;973860;1101855;1072799;2147810
Salto do Jacuí;4316451;-29,09509999999;-53,21329999999;4409907;4824624;4229625;3772728;4779669;4317127;4713009;4181405;4343567
Salvador das Missões;4316477;-28,1233;-54,83729999999;2309841;1448196;1477107;1938364;2194670;2062472;2730249;2595711;3269564
Salvador do Sul;4316501;-29,4386;-51,5077;9216314;9669441;7465964;12615572;15181731;8383747;7125579;8013723;8198557
Sananduva;4316600;-27,94699999999;-51,80789999999;15690320;14673971;14488845;16805390;17707802;21702426;19643565;19592897;27391298
Santa Bárbara do Sul;4316709;-28,3653;-53,25099999999;4197704;4578769;4507960;7154881;8320691;7442981;5659232;6700018;6423397
Santa Cecília do Sul;4316733;-28,1537;-51,9296;172619;263180;217965;249195;312597;351434;441322;517848;539861
Santa Clara do Sul;4316758;-29,47469999999;-52,08429999999;3081626;6754113;9240926;9275853;14600037;16628819;15453214;19748890;22799144
Santa Cruz do Sul;4316808;-29,722;-52,4343;252546154;257583103;313714224;376496092;415375994;474988451;562515856;571715757;657405883
Santa Margarida do Sul;4316972;-30,32959999999;-54,08229999999;1809440;1812708;2200205;1706775;2315758;2446275;661785;743982;1667057
Santa Maria;4316907;-29,6868;-53,81499999999;183634093;182917463;208659587;243412959;296993688;281537605;295406853;321646671;363970718
Santa Maria do Herval;4316956;-29,4902;-50,9919;4055815;3851637;4620115;6642345;7498074;8431629;8354711;8041936;8334469
Santa Rosa;4317202;-27,8702;-54,47959999999;44297394;37994088;40212759;44533704;49008587;54334314;60011926;17800771;17720398
Santa Tereza;4317251;-29,1655;-51,7351;312004;290942;363705;370903;376818;388798;403457;1281847;1327708
Santa Vitória do Palmar;4317301;-33,52499999999;-53,37169999999;7047995;6393312;7311660;12360887;13333857;15315478;22541831;43430649;49453559
Santana da Boa Vista;4317004;-30,8697;-53,10999999999;723874;564821;659571;917928;879279;1236699;1029550;69132114;87477991
Santana do Livramento;4317103;-30,88769999999;-55,5315;23900731;23739895;26120754;35064505;32262042;35101148;40407857;415333;522213
Santiago;4317400;-29,18969999999;-54,86659999999;12038656;13732273;13924082;16029390;18358409;21949806;23376248;25211589;31584592
Santo Ângelo;4317509;-28,3001;-54,2668;55145168;54898878;64919341;76405244;85093898;93137069;100403377;105691603;94209896
Santo Antônio da Patrulha;4317608;-29,82679999999;-50,51749999999;29696438;29405320;40933575;62161125;54833671;51895759;62467404;60149872;77879393
Santo Antônio das Missões;4317707;-28,51399999999;-55,22509999999;2101791;2300620;2709956;2184320;4060781;2718318;3591986;3526913;4343538
Santo Antônio do Palma;4317558;-28,4956;-52,02669999999;524172;562853;765916;1090357;1173800;1154466;1012506;1039938;974739
Santo Antônio do Planalto;4317756;-28,40309999999;-52,69919999999;301720;301619;416328;452424;482643;575446;622162;745241;614900
Santo Augusto;4317806;-27,85259999999;-53,7776;4325428;3798338;3992462;5101473;6370248;6993002;7709469;9485288;13195472
Santo Cristo;4317905;-27,8263;-54,66199999999;17563022;16330439;11873948;15614251;14441554;15869157;13314405;18208923;22446539
Santo Expedito do Sul;4317954;-27,90739999999;-51,6433;347423;465626;391202;977283;549254;495206;496738;544645;672785
São Borja;4318002;-28,6578;-56,00359999999;79457470;66557786;71636451;83917702;78472784;80636238;82787464;78345720;79814387
São Domingos do Sul;4318051;-28,53119999999;-51,886;549805;617639;699586;749989;855852;1003929;1171052;1346523;1947389
São Francisco de Assis;4318101;-29,5547;-55,1253;3115851;3054865;2938587;3551215;3909888;4447710;4796749;4531515;5800568
São Francisco de Paula;4318200;-29,4404;-50,58279999999;7929998;7577399;8618571;9442430;10065082;9288483;8145884;9812189;14425436
São Gabriel;4318309;-30,3337;-54,3217;32847891;27124106;30341858;37554564;36887744;49649418;61399245;56641795;60580621
São Jerônimo;4318408;-29,97159999999;-51,72509999999;36225091;37113755;41310810;49800800;53500575;52865348;55938805;62035384;63743510
São João da Urtiga;4318424;-27,8195;-51,82569999999;1074792;924098;1089423;1286335;1699946;1811133;2022818;2528440;2383514
São João do Polêsine;4318432;-29,61939999999;-53,44389999999;1078417;1161947;1427001;2042609;2571785;3083705;2898546;2570748;2860895
São Jorge;4318440;-28,4984;-51,7064;829015;693737;792050;982390;902623;1031285;1115920;1417571;1603654
São José das Missões;4318457;-27,7789;-53,12259999999;169522;183667;217916;238056;294915;286438;328645;317071;410446
São José do Herval;4318465;-29,052;-52,295;1643347;513968;716793;805296;569204;646159;1569752;1771417;1283695
São José do Hortêncio;4318481;-29,52799999999;-51,245;1415301;3867169;4477823;6469148;6507306;5878779;3904198;5169378;5665688
São José do Inhacorá;4318499;-27,7251;-54,12749999999;278610;399801;447524;594080;681606;809088;1088655;1142615;1491665
São José do Norte;4318507;-32,01509999999;-52,03309999999;3418056;3906912;3640697;5221262;7819333;6699329;6698161;6798680;10421542
São José do Ouro;4318606;-27,7707;-51,5966;3144247;3300244;3288899;3973257;7145704;6466383;4833464;5063998;6256263
São José do Sul;4318614;-29,529;-51,48709999999;478741;613619;698436;971835;1200370;1207925;1029556;1499117;2363089
São José dos Ausentes;4318622;-28,74759999999;-50,0677;874414;1136176;1115712;1133058;1182324;2064529;1231628;1889738;1861732
São Leopoldo;4318705;-29,7545;-51,14979999999;212353490;235470272;256646846;279535671;277178840;260868695;281269003;609242218;1553810089
São Lourenço do Sul;4318804;-31,3564;-51,97149999999;12565556;12063433;12833451;15226678;15604704;17682316;19622968;22129606;24882803
São Luiz Gonzaga;4318903;-28,41199999999;-54,9559;12605846;13499064;13367898;18692601;20735102;19793819;19491669;19717321;26944290
São Marcos;4319000;-28,9677;-51,0696;22532951;25922246;34371369;39749719;41297925;40531648;39756922;43157545;59834170
São Martinho;4319109;-27,7112;-53,9699;1412776;1308569;1463359;6927598;13244591;2908874;4345536;2919428;3902638
São Martinho da Serra;4319125;-29,5397;-53,859;161428;229895;220677;301425;437898;415155;513855;644951;758249
São Miguel das Missões;4319158;-28,556;-54,5559;1074274;1244203;1606880;1738584;3384407;2448640;2709616;2765584;3437337
São Nicolau;4319208;-28,18339999999;-55,2654;825481;545673;567412;852178;1233882;783172;1071283;1035918;1133888
São Paulo das Missões;4319307;-28,0195;-54,94039999999;720649;724204;751551;949127;951013;976134;1272577;1902991;14826551
São Pedro da Serra;4319356;-29,4193;-51,51339999999;773020;991037;1283480;1405636;1757041;2016343;2186345;2422349;2954047
São Pedro das Missões;4319364;-27,77321999999;-53,25047;133188;148731;147701;154926;223275;226084;267376;287801;325229
São Pedro do Butiá;4319372;-28,1243;-54,8926;451516;440532;597925;941633;1078708;1145404;1296773;1385934;1790533
São Pedro do Sul;4319406;-29,6202;-54,18549999999;5488005;5874468;6395404;6683103;7425242;8159388;10507523;9016452;10978127
São Sebastião do Caí;4319505;-29,5885;-51,37489999999;19230123;21563429;22943100;27538585;31442644;34208532;31946391;31914225;35836668
São Sepé;4319604;-30,1643;-53,56029999999;10099662;9267565;10310535;10743771;11819707;13503643;17564508;15733146;20573742
São Valentim;4319703;-27,55829999999;-52,52369999999;748287;662868;761990;812434;808216;920204;832478;1014462;1146264
São Valentim do Sul;4319711;-29,0451;-51,7684;622696;718775;742977;673893;744799;842308;969880;1076013;1320005
São Valério do Sul;4319737;-27,7906;-53,93679999999;112941;111715;110513;119857;144026;173670;184564;159169;213712
São Vendelino;4319752;-29,3729;-51,3675;1195079;1160094;1493207;1865883;1816756;1970404;2541931;2726677;3251612
São Vicente do Sul;4319802;-29,68819999999;-54,6826;2957089;2561592;2289800;2726681;2111800;3638897;4749134;3595628;3549201
Sapiranga;4319901;-29,63489999999;-51,0065;66555030;73418618;87441106;101676867;101740350;120241568;116281436;135773991;200908723
Sapucaia do Sul;4320008;-29,8276;-51,145;362930765;395760479;445847106;459086860;447239141;463227564;446849879;448061680;460714146
Sarandi;4320107;-27,942;-52,92309999999;22004911;20189592;22702009;20556785;22987645;23512049;23831128;30036106;29643773
Seberi;4320206;-27,4829;-53,4026;4024721;3892502;4503558;6607666;7065161;7002629;11121786;8972325;10627069
Sede Nova;4320230;-27,6367;-53,9493;322470;1023055;657320;1078749;1205915;701687;599200;686615;898836
Segredo;4320263;-29,3523;-52,9767;723390;652003;792207;882557;982670;1110987;1087402;1208775;1271967
Selbach;4320305;-28,6294;-52,9498;1529068;1621748;1644458;2346346;3733591;3322871;3591263;4059979;4249651
Senador Salgado Filho;4320321;-28,025;-54,55069999999;494151;1303923;2827550;2725543;2811814;2461225;533940;531219;963744
Sentinela do Sul;4320354;-30,6107;-51,58619999999;1625202;1587515;2756402;3195503;2800027;4171137;5214046;5071027;4468489
Serafina Corrêa;4320404;-28,71259999999;-51,93529999999;14974083;11742342;12114725;14238596;15728908;11312351;14670639;18895195;22061919
Sério;4320453;-29,3904;-52,2685;266933;245617;227238;263125;282802;328323;345914;304018;487520
Sertão;4320503;-27,9798;-52,2588;1316424;1463948;1473183;1908885;1925606;3769779;2307491;2623166;3274539
Sertão Santana;4320552;-30,45619999999;-51,6017;8259230;6428551;5053547;6506569;6488096;7859022;10771802;10230818;8761374
Sete de Setembro;4320578;-28,13619999999;-54,4637;153243;140860;177750;206847;246602;260076;303789;301293;415390
Severiano de Almeida;4320602;-27,43619999999;-52,12169999999;792171;815952;882589;955114;1019362;1067784;1137183;1207433;1746159
Silveira Martins;4320651;-29,64669999999;-53,591;503080;641779;779024;777934;841394;953127;1033317;997554;1143611
Sinimbu;4320677;-29,53569999999;-52,5305;1402891;1288633;1386396;1378128;1626178;1695755;1975153;1946595;2103877
Sobradinho;4320701;-29,4194;-53,0326;4675663;4869539;6796009;5508721;6453775;6468746;9343256;7229602;6805703
Soledade;4320800;-28,8306;-52,5131;7138472;7414100;8528529;9941284;11323943;13121188;12016939;13024390;16054097
Tabaí;4320859;-29,643;-51,68229999999;623074;712907;896340;861622;904851;1051187;1128529;1284582;1675601
Tapejara;4320909;-28,0652;-52,0097;35975380;40949081;48819705;51824848;47835856;57209961;63723443;70768003;74944638
Tapera;4321006;-28,6277;-52,86119999999;3843530;5066916;6033066;6447206;7021374;6219565;8596228;7932984;7524707
Tapes;4321105;-30,66829999999;-51,39909999999;6592310;6331227;6653577;7184518;6235647;9426210;8169941;5394595;6321669
Taquara;4321204;-29,6505;-50,7753;30916405;31029562;30944899;34132616;39735557;40852080;40503425;42374630;44331568
Taquari;4321303;-29,7943;-51,86529999999;24820706;22439212;32123551;43410802;36575054;39085648;43150452;49766170;59883861
Taquaruçu do Sul;4321329;-27,4004;-53,4703;447006;501005;466570;603179;785890;1053120;1194896;1417587;1627475
Tavares;4321352;-31,2843;-51,088;1664107;1494236;1418242;1393382;1776215;1918254;2201841;1849156;2203028
Tenente Portela;4321402;-27,37109999999;-53,75849999999;3051061;2730637;2874556;4465458;4031526;4772852;5243871;6698182;7837925
Terra de Areia;4321436;-29,57819999999;-50,06439999999;2634704;2575873;3051833;3072890;3352906;3497355;3829818;4289184;4968882
Teutônia;4321451;-29,4482;-51,8044;56107062;72254793;64681605;94557177;79012782;92172801;122944722;136384082;141078677
Tio Hugo;4321469;-28,57404;-52,5949;556955;815038;806038;1008299;1437457;1184658;1268381;1342032;1460682
Tiradentes do Sul;4321477;-27,4022;-54,0814;528683;532659;636423;772551;819247;870990;1185319;1200118;1793255
Toropi;4321493;-29,4782;-54,2244;262305;279002;363503;407284;561857;603710;680895;834271;739904
Torres;4321501;-29,3334;-49,7333;115546051;143398813;145698051;198746657;189742033;155488513;99502089;38982699;49166823
Tramandaí;4321600;-29,9841;-50,13219999999;10762677;10316525;11553520;12894421;14145948;15133071;16749175;18557244;20614329
Travesseiro;4321626;-29,29769999999;-52,05319999999;2178559;3585510;3213475;2841174;3151057;1373327;941487;2073090;3117989
Três Arroios;4321634;-27,50029999999;-52,14479999999;503956;481793;564416;690385;886358;932647;913893;1014460;1452847
Três Cachoeiras;4321667;-29,44869999999;-49,9275;4402442;4299640;4738870;18732394;29449047;6122666;6276122;6731943;8790193
