variavel: de Pessoas de 15 Anos ou Mais;;;;
caminho: /Educação/Taxa de Analfabetismo/de Pessoas de 15 Anos ou Mais;;;;
fonte: Instituto Brasileiro de Geografia e Estatística. ;;;;
agrupador: Município;;;;
descricao: ;;;;
Município;ibge;latitude;longitude;2010 (%)
Charrua;4305371;-27,9493;-52,015;13,09
Chiapetta;4305405;-27,92299999999;-53,94189999999;6,26
Chuí;4305439;-33,68659999999;-53,4594;1,88
Chuvisca;4305447;-30,75039999999;-51,9737;9,74
Cidreira;4305454;-30,16039999999;-50,2338;3,66
Ciríaco;4305504;-28,34189999999;-51,87409999999;7,12
Colinas;4305587;-29,38149999999;-51,8526;2,91
Colorado;4305603;-28,5258;-52,9928;4,45
Condor;4305702;-28,2075;-53,49049999999;5,4
Constantina;4305801;-27,73199999999;-52,9938;8,26
Coqueiro Baixo;4305835;-29,1722;-52,0989;7,06
Coqueiros do Sul;4305850;-28,11939999999;-52,78419999999;5,16
Coronel Barros;4305871;-28,39219999999;-54,0686;3,15
Coronel Bicaco;4305900;-27,7197;-53,70219999999;11,28
Coronel Pilar;4305934;-29,2684;-51,68789999999;3,97
Cotiporã;4305959;-28,9891;-51,69709999999;4,52
Coxilha;4305975;-28,128;-52,3023;6,86
Crissiumal;4306007;-27,4999;-54,0994;4,78
Cristal;4306056;-31,0046;-52,04359999999;9,5
Cristal do Sul;4306072;-27,452;-53,24219999999;12,19
Cruz Alta;4306106;-28,645;-53,60479999999;4,48
Cruzaltense;4306130;-27,6644;-52,6492;6,76
Cruzeiro do Sul;4306205;-29,5148;-51,9928;3,83
David Canabarro;4306304;-28,38489999999;-51,84819999999;7,36
Derrubadas;4306320;-27,26419999999;-53,8645;9,78
Dezesseis de Novembro;4306353;-28,219;-55,0617;12,29
Dilermando de Aguiar;4306379;-29,7054;-54,2122;13,65
Dois Irmãos;4306403;-29,5836;-51,08979999999;2,04
Dois Irmãos das Missões;4306429;-27,66209999999;-53,5304;12,29
Dois Lajeados;4306452;-28,983;-51,83959999999;5,11
Dom Feliciano;4306502;-30,70039999999;-52,1026;12,21
Dom Pedrito;4306601;-30,9756;-54,6694;5,98
Dom Pedro de Alcântara;4306551;-29,3639;-49,853;5,65
Dona Francisca;4306700;-29,61949999999;-53,36169999999;7,19
Doutor Maurício Cardoso;4306734;-27,5103;-54,35779999999;6,29
Doutor Ricardo;4306759;-29,084;-51,9971;7,19
Eldorado do Sul;4306767;-30,0847;-51,61869999999;4,18
Encantado;4306809;-29,23509999999;-51,8703;3,26
Encruzilhada do Sul;4306908;-30,54299999999;-52,5204;10,81
Engenho Velho;4306924;-27,706;-52,91449999999;10,6
Entre Rios do Sul;4306957;-27,5298;-52,73469999999;9,13
Entre-ijuís;4306932;-28,3686;-54,26859999999;6,09
Erebango;4306973;-27,85439999999;-52,3005;6,86
Erechim;4307005;-27,63639999999;-52,2697;3,28
Ernestina;4307054;-28,49769999999;-52,58359999999;6,23
Erval Grande;4307203;-27,3926;-52,57399999999;11,79
Erval Seco;4307302;-27,5443;-53,5005;11,64
Esmeralda;4307401;-28,0518;-51,1933;8,22
Esperança do Sul;4307450;-27,36029999999;-53,9891;9,75
Espumoso;4307500;-28,7286;-52,8461;7,41
Estação;4307559;-27,91349999999;-52,2635;3,48
Estância Velha;4307609;-29,6535;-51,1843;2,62
Esteio;4307708;-29,852;-51,1841;2,65
Estrela;4307807;-29,5016;-51,9605;2,47
Estrela Velha;4307815;-29,17129999999;-53,16389999999;8,94
Eugênio de Castro;4307831;-28,5315;-54,15059999999;6,49
Fagundes Varela;4307864;-28,8794;-51,7014;4,02
Farroupilha;4307906;-29,2227;-51,3419;2,68
Faxinal do Soturno;4308003;-29,5788;-53,44839999999;5,15
Faxinalzinho;4308052;-27,4238;-52,67889999999;9,49
Fazenda Vilanova;4308078;-29,5885;-51,8217;5,94
Feliz;4308102;-29,4527;-51,30319999999;0,95
Flores da Cunha;4308201;-29,02619999999;-51,1875;3,16
Floriano Peixoto;4308250;-27,8614;-52,08379999999;4,44
Fontoura Xavier;4308300;-28,9816;-52,34449999999;16,97
Formigueiro;4308409;-30,00349999999;-53,49589999999;11,22
Forquetinha;4308433;-29,3792;-52,0917;6,64
Fortaleza dos Valos;4308458;-28,7986;-53,22489999999;6,27
Frederico Westphalen;4308508;-27,35859999999;-53,3958;4,64
Garibaldi;4308607;-29,259;-51,5352;2,65
Garruchos;4308656;-28,1944;-55,6383;12,22
Gaurama;4308706;-27,58559999999;-52,0915;4,07
General Câmara;4308805;-29,90319999999;-51,7612;9,55
Gentil;4308854;-28,4316;-52,0337;7,59
Getúlio Vargas;4308904;-27,8911;-52,22939999999;4,12
Giruá;4309001;-28,02969999999;-54,3517;6,7
Glorinha;4309050;-29,87979999999;-50,7734;8,08
Gramado;4309100;-29,3733;-50,87619999999;2,82
Gramado dos Loureiros;4309126;-27,4429;-52,9149;12,8
Gramado Xavier;4309159;-29,2706;-52,5795;9,91
Gravataí;4309209;-29,94129999999;-50,98689999999;3,2
Guabiju;4309258;-28,5421;-51,6948;4,55
Guaíba;4309308;-30,10859999999;-51,3233;3,83
Guaporé;4309407;-28,8399;-51,88949999999;3,76
Guarani das Missões;4309506;-28,1491;-54,56289999999;4,99
Harmonia;4309555;-29,5456;-51,4185;2,09
Herval;4307104;-32,024;-53,39439999999;7,89
Herveiras;4309571;-29,4552;-52,65529999999;10,17
Horizontina;4309605;-27,6282;-54,3053;2,89
Hulha Negra;4309654;-31,4067;-53,8667;8,69
Humaitá;4309704;-27,56909999999;-53,96949999999;3,55
