variavel: de Pessoas de 15 Anos ou Mais;;;;
caminho: /Educação/Taxa de Analfabetismo/de Pessoas de 15 Anos ou Mais;;;;
fonte: Instituto Brasileiro de Geografia e Estatística. ;;;;
agrupador: Município;;;;
descricao: ;;;;
Município;ibge;latitude;longitude;2010 (%)
Três Forquilhas;4321832;-29,53839999999;-50,07079999999;12,7
Três Palmeiras;4321857;-27,6139;-52,84369999999;11
Três Passos;4321907;-27,4555;-53,9296;5,31
Trindade do Sul;4321956;-27,5239;-52,8956;11,56
Triunfo;4322004;-29,92909999999;-51,7075;6,51
Tucunduva;4322103;-27,65729999999;-54,44389999999;5,22
Tunas;4322152;-29,10389999999;-52,9538;12,42
Tupanci do Sul;4322186;-27,92409999999;-51,5383;10,2
Tupanciretã;4322202;-29,08579999999;-53,84449999999;5,44
Tupandi;4322251;-29,4772;-51,4174;1,8
Tuparendi;4322301;-27,75979999999;-54,4814;5,16
Turuçu;4322327;-31,4173;-52,1706;6,24
Ubiretama;4322343;-28,0404;-54,68589999999;4,14
União da Serra;4322350;-28,7833;-52,0238;4,98
Unistalda;4322376;-29,03999999999;-55,15169999999;9,42
Uruguaiana;4322400;-29,76139999999;-57,08529999999;4,07
Vacaria;4322509;-28,50789999999;-50,9418;5,15
Vale do Sol;4322533;-29,59669999999;-52,6839;6,23
Vale Real;4322541;-29,3919;-51,25589999999;3,02
Vale Verde;4322525;-29,7864;-52,18569999999;10,4
Vanini;4322558;-28,4758;-51,8447;6,41
Venâncio Aires;4322608;-29,6143;-52,19319999999;4,6
Vera Cruz;4322707;-29,71839999999;-52,5152;4,72
Veranópolis;4322806;-28,9312;-51,5516;2,82
Vespasiano Correa;4322855;-29,0655;-51,8625;7,24
Viadutos;4322905;-27,5716;-52,02109999999;5,44
Viamão;4323002;-30,0819;-51,01939999999;4,19
Vicente Dutra;4323101;-27,16079999999;-53,4022;10,97
Victor Graeff;4323200;-28,56319999999;-52,74949999999;2,9
Vila Flores;4323309;-28,8598;-51,5504;2,13
Vila Lângaro;4323358;-28,1062;-52,14379999999;5,76
Vila Maria;4323408;-28,5359;-52,14869999999;4,27
Vila Nova do Sul;4323457;-30,3461;-53,87599999999;9,12
Vista Alegre;4323507;-27,3686;-53,4919;7,23
Vista Alegre do Prata;4323606;-28,80519999999;-51,7946;2,65
Vista Gaúcha;4323705;-27,29019999999;-53,6974;6,07
Vitória das Missões;4323754;-28,3516;-54,50399999999;11,51
Westfalia;4323770;-29,3744;-51,74629999999;1,95
Xangri-lá;4323804;-29,8065;-50,0519;3,31
