variavel: Total;;;;;;;;;;;;
caminho: /Contabilidade Social/Série 2002 em diante/PIB/Total;;;;;;;;;;;;
fonte: Fundação de Economia e Estatística/Núcleo de Contabilidade Social. ;;;;;;;;;;;;
agrupador: Município;;;;;;;;;;;;
descricao: ;;;;;;;;;;;;
Município;ibge;latitude;longitude;2010 (R$ mil);2011 (R$ mil);2012 (R$ mil);2013 (R$ mil);2014 (R$ mil);2015 (R$ mil);2016 (R$ mil);2017 (R$ mil);2018 (R$ mil)
Benjamin Constant do Sul;4302055;-27,5086;-52,59949999999;16711,56;18772,6;15630,24;23690,54;25996,61;27113,5;31486,3;30465,86;31896,99
Bento Gonçalves;4302105;-29,1662;-51,5165;3508007,19;3927845,33;4317554,68;4752627,37;5337670,76;5254620,73;5151925,39;5531265,95;5963268,92
Boa Vista das Missões;4302154;-27,6671;-53,3102;74989,03;83442,48;56573,94;116882,58;109982,74;120502,35;137832,58;114284,94;155939,19
Boa Vista do Buricá;4302204;-27,6693;-54,10819999999;102532,24;110533,33;109767,57;149046,92;163912,19;169762,42;187789,32;193519,93;214412,97
Boa Vista do Cadeado;4302220;-28,5716;-53,8138;93826,55;120109,19;73811;178592,41;173898,64;180894,91;239872,8;217577,81;275390,09
Boa Vista do Incra;4302238;-28,8092;-53,3874;72653,73;92598,63;75439,83;141668,69;122675,47;141976,7;181165,67;156877,6;202172,91
Boa Vista do Sul;4302253;-29,35439999999;-51,6687;43793,1;48068,61;46010,89;57537,12;67101,13;71459,95;71446,13;73418,92;90915,63
Bom Jesus;4302303;-28,66969999999;-50,42949999999;172919,22;187692,79;214152,05;251490,09;267074,38;283276,34;336822,15;305268,7;335532,86
Bom Princípio;4302352;-29,4856;-51,35479999999;255593,85;268433,51;327311,8;370920,21;433351,41;485358,99;513379,92;534970,44;650979,69
Bom Progresso;4302378;-27,53989999999;-53,8716;32037,61;32079,68;29773,34;45545,05;47625,56;48654,55;56200,63;53405,13;52807,3
Bom Retiro do Sul;4302402;-29,60859999999;-51,94639999999;154180,21;154310,07;176727,68;199562,76;208718,4;232699,76;251230,43;263135,44;303124,8
