variavel: Total;;;;;;;;;;;;
caminho: /Contabilidade Social/Série 2002 em diante/PIB/Total;;;;;;;;;;;;
fonte: Fundação de Economia e Estatística/Núcleo de Contabilidade Social. ;;;;;;;;;;;;
agrupador: Município;;;;;;;;;;;;
descricao: ;;;;;;;;;;;;
Município;ibge;latitude;longitude;2010 (R$ mil);2011 (R$ mil);2012 (R$ mil);2013 (R$ mil);2014 (R$ mil);2015 (R$ mil);2016 (R$ mil);2017 (R$ mil);2018 (R$ mil)
Gramado dos Loureiros;4309126;-27,4429;-52,9149;23739,46;28036,71;21869,4;40499,19;41667,75;43620,52;44779,27;42855,79;53391,05
Gramado Xavier;4309159;-29,2706;-52,5795;39745,88;47488,54;49582,49;60594,07;72105,26;65887,96;75068,94;82398,35;83010,86
Gravataí;4309209;-29,94129999999;-50,98689999999;7295812,59;7984451,99;8412248,58;10192685,05;10892311,42;9731351,79;10121618,1;12406079,33;11964051,91
Guabiju;4309258;-28,5421;-51,6948;31262,34;32557,12;33975,94;46644,6;58489,16;69242,95;72955,35;67517,98;74047,62
Guaíba;4309308;-30,10859999999;-51,3233;2910559,91;3144562,09;3601925,61;4170836,42;5104251,44;5345985,03;5944685,74;5629241,99;6729778,44
Guaporé;4309407;-28,8399;-51,88949999999;426314,61;468581,17;511192,99;595354,8;692267,78;744772,26;768983,6;828595,75;866189,09
Guarani das Missões;4309506;-28,1491;-54,56289999999;159411,11;172874,41;175904,48;239458,34;242251,92;251330,6;306590,76;300187,5;357567,35
Harmonia;4309555;-29,5456;-51,4185;64604,21;75508,96;90250,87;99042,24;118065,75;131602,48;153789,1;160014,68;169229,06
Herval;4307104;-32,024;-53,39439999999;57417,81;57523,21;68423,62;85036,11;99022,24;101252,21;118810,57;140456,58;133957,07
Herveiras;4309571;-29,4552;-52,65529999999;34769,61;39818,95;33990,56;51841,12;49233,11;53224,49;53720,7;63052,56;60127,17
Horizontina;4309605;-27,6282;-54,3053;892861,01;1021683,42;1031746,08;1619685,85;1987506,58;1198381,93;1305165,52;1583977,89;1626246,78
Hulha Negra;4309654;-31,4067;-53,8667;72552,53;87176,5;98713,18;123369,85;124124,9;143758,49;168956,35;159541,21;201585,3
Humaitá;4309704;-27,56909999999;-53,96949999999;79616,58;87823,38;85460,42;120407,84;130153,67;131242,09;135127,89;137571,86;145045,06
Ibarama;4309753;-29,4203;-53,1295;45653,08;51923,04;50768,77;69187,98;70365,81;72659,29;80801,54;88032,54;90583,69
Ibiaçá;4309803;-28,0566;-51,8599;99491,19;116714,21;112070,88;177742,77;159299,75;178155,51;199142,59;192692,2;222147,8
Ibiraiaras;4309902;-28,37409999999;-51,6377;133081,5;147358,58;170250,57;203426,2;217778,35;249000,62;265024,79;238583,71;248921,17
Ibirapuitã;4309951;-28,6247;-52,51579999999;51996,38;62633,69;59780,67;93923,6;85123,95;99063,87;111720,5;95213,46;117233,55
Ibirubá;4310009;-28,63019999999;-53,0961;505810,82;598797,11;711759,74;926583,56;974171,5;876527,08;969342,6;904036,08;1065951,58
Igrejinha;4310108;-29,56929999999;-50,79189999999;1020677,17;1140013,64;1240640,17;1326812,13;1459073,68;1506435,42;1485951,41;1593833,48;1815163,74
Ijuí;4310207;-28,3881;-53,92;1627125,38;2068864,68;2360938,23;2526316,11;2577030,24;2830181,43;3096633,14;3194967,5;3530435,67
Ilópolis;4310306;-28,9282;-52,12579999999;61038,24;67824,5;69139,94;94422,17;108438,42;108518,74;118061,35;111439,65;104592,02
Imbé;4310330;-29,9753;-50,1281;251065,7;255472,32;307290,03;332308,9;372438,97;418127,36;456861,53;481496,03;455219,63
Imigrante;4310363;-29,3508;-51,7747;109756,15;122992,58;126881,43;167613,26;218665,59;173060,1;175555;180910,78;239313,86
Independência;4310405;-27,8354;-54,1886;103774,03;137799,65;92504,48;172517,3;188154,59;208283,09;249011,92;218216,44;284070,95
Inhacorá;4310413;-27,8752;-54,015;31648,38;39462,96;25520,11;49595,65;48097,69;51200,08;59604,33;58513,54;72492,64
Ipê;4310439;-28,8171;-51,28589999999;109156,06;112908,15;114297,5;159146,19;166294,8;200683,39;218732,95;196152,77;196748,88
Ipiranga do Sul;4310462;-27,9404;-52,4271;51187,76;60219,43;57365,35;77715,49;79867,26;81007,13;92154,03;85247,68;103950,49
Iraí;4310504;-27,1951;-53,2543;77344,94;88223,71;99298,42;124623,28;135734,23;142515,11;157474,12;174916,53;169919,42
Itaara;4310538;-29,60129999999;-53,7725;50051,67;56465,27;58265,26;75518,01;79184,77;82268,54;86267,41;88332,25;124773,5
Itacurubi;4310553;-28,7913;-55,2447;45253,54;46967,21;46853,07;68283,83;63541,67;80694,04;96232,57;87625,75;92000,02
Itapuca;4310579;-28,7768;-52,1693;29265,8;34705,12;31060,51;43074,65;45953,26;45412,35;50112;53533,05;57567,44
Itaqui;4310603;-29,131;-56,55149999999;685709,83;725648,39;821017,61;1008579,9;1083660,48;1160851,64;1206402,07;1338664,01;1388325,74
Itati;4310652;-29,48832;-50,11357999999;34598,53;34211,18;36895,9;56894,5;56667,7;65946,27;80236,16;60371,62;64391,13
Itatiba do Sul;4310702;-27,38459999999;-52,4538;37035,5;38741,53;38683,27;48901,33;56723,12;56176,57;62238,43;64609,74;58550,71
Ivorá;4310751;-29,52319999999;-53,5842;31949,76;29856,03;27624;43457,77;44042,56;47317,44;49933,11;48558,06;52897,15
Ivoti;4310801;-29,59949999999;-51,1533;507996,99;552599,97;642772,36;715295,03;792081,91;880294,51;910148,62;903806,15;1012332,83
Jaboticaba;4310850;-27,63469999999;-53,2762;56777,97;59079,45;48068,91;72456,94;75316,02;85141;94150,96;85924,94;98438,71
Jacuizinho;4310876;-29,02199999999;-53,05369999999;38898,44;49339,72;40562,06;82205,86;77426,25;86269,89;104150,82;98924,12;117096,31
Jacutinga;4310900;-27,72909999999;-52,53719999999;68574,61;80824,19;78296,27;124332,15;114841,24;125133,34;119104,34;116811,16;134460,28
Jaguarão;4311007;-32,5604;-53,377;328128,45;331588,28;400873,46;521329,93;585491,5;600879,61;645249,87;722427,21;670645,54
Jaguari;4311106;-29,4936;-54,703;137335,22;144128,13;160023,57;196243,17;189860,71;222281,5;230030,59;239855,28;254642,12
Jaquirana;4311122;-28,8811;-50,3637;39914,81;42355,25;46978,39;54776,74;59702,69;61598,52;68588,81;68294,78;67006,44
Jari;4311130;-29,2922;-54,2237;74745,61;95951,83;70589,14;153754,23;140493,86;164776,52;188573,84;176715,85;218314,59
Jóia;4311155;-28,6435;-54,1141;205159,04;264239,88;161756,55;363214,52;342843,29;370091,01;415382,82;406480;527537,94
Júlio de Castilhos;4311205;-29,2298;-53,67719999999;409433,39;523686,8;496123,17;809656,77;854916,3;987125,74;1053406,47;1052966,93;1307194,18
Lagoa Bonita do Sul;4311239;-29,48819999999;-53,0138;29700,75;36730,01;37199,84;49195,33;50202,83;53631,22;51915,64;59983,88;59816,7
Lagoa dos Três Cantos;4311270;-28,56759999999;-52,8618;40527,5;47849,39;44547,71;70343,27;62839,06;72563,35;86604,87;75573,12;94386,9
Lagoa Vermelha;4311304;-28,20929999999;-51,52479999999;548331,25;621438,39;693645,84;817913,08;919761,63;915008,03;941127,83;964817,07;1164134,62
Lagoão;4311254;-29,2348;-52,7997;53268,61;61408,67;61524,31;84855,78;83423,02;89392,33;94435,19;104485,96;111632,47
Lajeado;4311403;-29,45909999999;-51,96439999999;2118848,16;2367848,55;2834907,64;2888836,08;3240932,87;3253609,32;3431938,91;3662789,92;4241234,6
Lajeado do Bugre;4311429;-27,69129999999;-53,1818;23661,55;29230,73;24756,32;38663,5;38454,51;39608,69;50311,55;43932,12;48942,42
Lavras do Sul;4311502;-30,80709999999;-53,89309999999;120059,82;120999,04;130734,99;177982,08;187318,05;221567,07;249430,75;218582,72;252427,92
Liberato Salzano;4311601;-27,60099999999;-53,07529999999;56213,18;70230,28;64037,7;90731,32;100345,15;116821,74;122209,31;124609,54;140320,98
Lindolfo Collor;4311627;-29,58589999999;-51,2141;158708,77;149478,49;183418,07;224035,41;307392,39;302267,53;289931,8;300111,5;296696,74
Linha Nova;4311643;-29,4679;-51,20029999999;24367,99;26064,96;28224,06;39783,85;41927,94;47908,31;56821,93;46469,65;48218,97
Maçambará;4311718;-29,1445;-56,06739999999;124069,93;126766,11;110537,98;184668,35;178492,2;207656,52;240778,88;246055,44;245439,48
Machadinho;4311700;-27,5667;-51,6668;74352,15;78964,31;81528,97;102817,95;120187,61;135214,4;160421,46;153116,74;178996,13
Mampituba;4311734;-29,2136;-49,9311;24518,82;26033,06;28982,85;35182,57;43261,43;48520,37;53716,72;56508,35;53256,64
Manoel Viana;4311759;-29,58589999999;-55,48409999999;100888,3;119442,79;107385,79;175578,26;172069,78;211389,42;228249,76;234733,04;277625,65
Maquiné;4311775;-29,6798;-50,2079;57592,68;62361,95;70027,79;85427,11;99030,57;108177,61;122081,35;112146,38;121309,79
Maratá;4311791;-29,5457;-51,55729999999;53774,75;59611,78;70221,32;84793,14;97014,87;91130,24;90054,43;92294,84;69242,66
Marau;4311809;-28,4498;-52,19859999999;1103373,73;1400652,3;1363931,48;1495972,74;1660333,19;1691725,36;1893704,36;1891799;2051323,51
Marcelino Ramos;4311908;-27,4676;-51,9095;58725,05;66901,89;71026,75;86467,5;94060,06;102150,3;109494,84;112408,12;116521,83
Mariana Pimentel;4311981;-30,3531;-51,5803;40071,87;41800,28;41974,79;47321;53612,36;57568,96;84104,55;67317,7;66320,36
Mariano Moro;4312005;-27,3568;-52,1467;25665,96;28545,8;30112,33;42653,96;48177,75;47726,35;48799,33;47102,43;50448,84
Marques de Souza;4312054;-29,33109999999;-52,09729999999;45269,17;55204,93;60449,82;66498,87;73455,33;77332,74;84142,63;83452,48;87938,34
Mata;4312104;-29,5649;-54,4641;50651,95;60849,03;62888,83;83147,9;89068,36;93967,33;109745,87;106930,26;114241,47
Mato Castelhano;4312138;-28,28;-52,19319999999;52401,26;67624,92;69626,03;103149,01;97426,46;110348,19;110541,49;81915,98;103994,46
Mato Leitão;4312153;-29,5285;-52,1278;95302,49;119517,71;108262,03;103485,57;136358,16;132589,76;132329,77;130501,05;154162,17
Mato Queimado;4312179;-28,2475;-54,61919999999;27643,16;32159,6;26872,44;47611;44566,1;44216,49;54541,38;49999,3;59355,83
Maximiliano de Almeida;4312203;-27,6325;-51,8021;58587,5;63802,55;68863,4;78375,87;84137,21;92714,38;105772,57;97658,17;116743
Minas do Leão;4312252;-30,13459999999;-52,04229999999;86218,66;83980,58;92089,9;122882,48;131305,55;164676,96;174946,16;151995,75;176749,19
Miraguaí;4312302;-27,497;-53,6891;55125,63;82624,89;84984,96;119039,49;125068,44;126027,62;140860,82;118701,42;132996,94
Montauri;4312351;-28,6462;-52,0767;33903,05;36039,9;34939,17;48638,72;48255,16;53768,18;56574,83;53667,43;57083,37
Monte Alegre dos Campos;4312377;-28,68049999999;-50,7834;31182,01;32448,63;42501,36;42969,31;49246,02;58005,91;72357,46;72832,78;64837,97
Monte Belo do Sul;4312385;-29,16069999999;-51,63329999999;74076,5;81779,03;100290,19;100404,54;119416,26;120029,69;114496,81;131827,15;79016,05
Montenegro;4312401;-29,6824;-51,4679;1840974,08;1974585,48;2114148,99;2628384,72;2786148,6;2831833,69;2835056,67;3301681,26;3729772,74
Mormaço;4312427;-28,6968;-52,6999;46598,78;56886,91;54766,11;80158,4;77079,23;82748,22;86019,77;88566,01;108240,77
Morrinhos do Sul;4312443;-29,3578;-49,9328;35750,23;34732,77;38084,62;46931,11;53569,53;51846,61;60577,85;60071,73;55175,97
Morro Redondo;4312450;-31,58869999999;-52,6261;60068,8;62858,84;70473,08;80037,63;85037,22;88678,55;92294,27;89237,22;91741,85
Morro Reuter;4312476;-29,5379;-51,08109999999;90962,04;95286,2;114263,77;126407,65;136191,1;148082,91;170087,76;172771,31;182804,89
Mostardas;4312500;-31,10539999999;-50,91669999999;200167,95;175307,38;225631,68;260247,22;319167,21;283205,58;337022,14;365899,3;358553,01
Muçum;4312609;-29,163;-51,8714;187455,03;193474,55;209339,15;163428,63;215575;228059,12;246516,69;283719,09;250660,55
Muitos Capões;4312617;-28,31319999999;-51,18359999999;227907,78;214116,67;219351,19;317668,27;373443,08;435627,42;513256,06;376581,05;431523,86
Muliterno;4312625;-28,32529999999;-51,7697;27279,66;31860,86;30869,72;41621,56;39977,54;44302,17;50003,86;44183,5;52384,8
Não-Me-Toque;4312658;-28,45479999999;-52,81819999999;618498,24;755626,35;800626,02;1121023,02;1081326,8;983550,34;1006650,65;1146545,55;1275494,14
Nicolau Vergueiro;4312674;-28,5298;-52,46759999999;43769,43;55577,09;51081,03;76742,07;64178,8;80236,39;81942,68;81720,83;92152,53
Nonoai;4312708;-27,3689;-52,77559999999;185120,84;228082,99;220181,63;285036,89;278817,46;330608,81;369663,73;366978,32;427622,06
Nova Alvorada;4312757;-28,6822;-52,1631;70144,96;83497,16;82558,93;116029,03;129813,04;136289,62;153721,28;160516,03;169032,28
Nova Araçá;4312807;-28,6537;-51,7458;139156,62;155763,75;171900,48;145650,31;219262,47;292788,68;267773,45;187514,38;211019,04
Nova Bassano;4312906;-28,72909999999;-51,7072;429209,63;539159,94;679936,18;696245,01;863950,09;667228,35;540803,51;490525,5;511067,66
Nova Boa Vista;4312955;-27,99259999999;-52,9784;33781,47;39276,74;36861,02;59101,17;69888,51;74739;81294,28;79949,97;91689,53
Nova Bréscia;4313003;-29,2182;-52,0319;57241,19;58846,44;61626,47;72487,23;80229,73;89320,85;96335,71;99428,35;104221,21
Nova Candelária;4313011;-27,6137;-54,10739999999;63603,68;80666,26;82024,57;101733,46;113651,67;116126,95;131118,16;135458,46;147117,6
Nova Esperança do Sul;4313037;-29,4066;-54,8293;87916,64;100033,63;111631,23;123147,55;118357,41;122605,3;125875,95;129215,34;128579,15
Nova Hartz;4313060;-29,5807;-50,90509999999;580507,79;715475,92;726560,62;647046,54;725989,73;652308,42;601393,55;613593,03;632949,87
Nova Pádua;4313086;-29,0275;-51,3098;39163,13;41160,12;44458,05;49393,14;56910,13;63273,42;68402,08;66677,81;71084,99
Nova Palma;4313102;-29,471;-53,46889999999;112181,06;127240,04;124841,7;170534,39;193620,96;209123,58;279478,69;278466,18;310073,07
Nova Petrópolis;4313201;-29,37409999999;-51,1135;401984,76;457156,89;522668,41;563598,25;611768,44;669394,09;698993,81;762695,67;792489,46
Nova Prata;4313300;-28,7799;-51,6113;691969,03;741820,65;776569,48;860399,73;845113,98;996277,84;1096581,71;1199907,65;1593815,28
Nova Ramada;4313334;-28,0667;-53,69919999999;48522,28;62541,67;44836,23;88558,49;84322,21;100710,8;123286,5;111208,49;151558,56
Nova Roma do Sul;4313359;-28,98819999999;-51,4095;65324,46;71152,57;78747,77;93656,6;104363,68;156703,95;143849,39;166545,24;182745,06
Nova Santa Rita;4313375;-29,85249999999;-51,2837;524360,9;650453,63;780498,48;916383,73;1081916,84;1088456,21;1144391,94;1130729,07;1663379,1
Novo Barreiro;4313490;-27,90769999999;-53,1103;42423,47;47733,99;45765,82;69751,34;71490,51;75458,23;82760,49;81260,22;88453,63
Novo Cabrais;4313391;-29,73379999999;-52,9489;44736,33;48232,02;50866,08;68267,9;77556,07;82837,37;78405,45;91838,17;88493,56
Novo Hamburgo;4313409;-29,6876;-51,1328;5536879,61;6204124,43;6521643,7;7053847,17;7806020,06;8122465,22;8257280,81;8736150,68;9404443,67
Novo Machado;4313425;-27,57649999999;-54,50359999999;56116,56;68912,55;63478,87;88335,15;95606,34;107613,94;116292,49;116080,24;120590,83
Novo Tiradentes;4313441;-27,5649;-53,1837;25032,65;33535,42;28117,61;43271,16;42403,04;44166,12;54410,55;47222,73;49259,63
Novo Xingu;4313466;-27,74309999999;-53,06159999999;25961,66;28196,03;23557,42;41261,38;42499,93;46587,5;52083,24;49151,93;57256,91
Osório;4313508;-29,8881;-50,2667;1239024,58;1315943,5;1680519,07;1037035,46;1161130,3;1253350,76;1326458,83;2026364,14;1563674,55
Paim Filho;4313607;-27,7075;-51,76299999999;65457,37;64938,1;71034,25;76708,17;90423,19;94685,4;105740,31;101437,52;109911,65
Palmares do Sul;4313656;-30,25349999999;-50,5103;178192,98;177989,12;214475,15;266145,13;301955,4;407235,62;419084,32;493762,62;469026,71
Palmeira das Missões;4313706;-27,9006;-53,3134;642627,69;809837,84;708437,63;1035809,02;1070411,17;1138224,83;1298200,72;1354145,32;1460340,19
Palmitinho;4313805;-27,3596;-53,558;79191,65;94156,95;103783,79;131082,56;158612,47;156227,59;181531,96;179331,51;183201,51
Panambi;4313904;-28,2833;-53,50229999999;1100161,18;1229289,72;1181026,94;1605992,25;1880910,71;1683164,92;1684892,23;1972116,36;2126578,04
Pantano Grande;4313953;-30,1901;-52,3729;158234,67;178141,24;203268,03;238518,74;258028,75;271894,02;316531,28;331884,65;346217,01
Paraí;4314001;-28,59639999999;-51,7896;143527,36;166770,39;178314,82;212141,17;242132,67;249485,39;264413,78;256862,62;290120,52
Paraíso do Sul;4314027;-29,6717;-53,14399999999;80377,18;89407,81;89785,81;120385,52;128061,83;142330,12;143655,77;161234,85;154884,65
Pareci Novo;4314035;-29,6365;-51,39739999999;49842,26;51795,35;58678,08;67348,13;73924,39;78590,79;83993,53;88120,35;95838,22
Parobé;4314050;-29,6243;-50,8312;729606,55;816443,14;884508,91;959059,9;1101374,23;1089026,67;1059508,58;1144718,66;1227221,87
Passa Sete;4314068;-29,45769999999;-52,95989999999;50409,76;62584,23;62542,79;84226,54;84371,48;89701,63;83838,44;107221,02;104234,32
Passo do Sobrado;4314076;-29,748;-52,27479999999;91883,47;112427,12;106725,36;141940,44;139988,25;146818,23;165323,28;172327,64;172013,59
Passo Fundo;4314100;-28,2576;-52,4091;3903721,56;4650218,68;5950713,26;7232714,54;7385322,22;7817190,35;8342537,9;8584861,14;9145514,51
Paulo Bento;4314134;-27,6978;-52,42609999999;46620,61;53870,59;54073,37;73040,5;67278,49;75877,95;92179,25;93958,41;95003,9
Paverama;4314159;-29,5485;-51,73389999999;87373,02;104923,77;117599,74;125955;150934,48;150849,18;168092,04;166151,55;169254,85
Pedras Altas;4314175;-31,72169999999;-53,58379999999;39314,35;41050,77;41698,44;61502,66;65059,91;101749,53;96426,76;107684,47;110305,22
Pedro Osório;4314209;-31,8642;-52,81839999999;105593,47;79135,11;87138,25;99690,56;118544,42;123830,56;129834,62;151626,04;149525,55
Pejuçara;4314308;-28,4283;-53,65789999999;118717,15;142724,95;99686,55;200509,25;186094,28;198272,33;246789,35;219479,08;268248,94
Pelotas;4314407;-31,7649;-52,3371;4227939,52;5266526,95;5736427,63;5967010,78;6658157,58;7391651,44;8103229,83;8573354,7;8843336,51
Picada Café;4314423;-29,4464;-51,13669999999;238961,3;259031,7;288863,4;299631,97;349085,53;306384,13;323176,92;293085,29;344509,07
Pinhal;4314456;-27,50799999999;-53,20819999999;35759,08;39993,86;41695,38;57474,8;60489,99;64487,36;71853,93;73581,65;73957,97
Pinhal da Serra;4314464;-27,86339999999;-51,1702;319504,43;343250,02;362716,56;250068,82;224444,46;384174,92;386080,21;330767,86;255942,33
Pinhal Grande;4314472;-29,34499999999;-53,3207;338626,97;305803,53;199152,05;129372,4;143203,37;396229,07;411644,16;490997,84;686453,48
Pinheirinho do Vale;4314498;-27,21089999999;-53,60799999999;44922,97;49424,1;50842,4;65454,88;74211,74;73898,5;73561,36;86378,43;84688,99
Pinheiro Machado;4314506;-31,5794;-53,3798;160691,69;176700,33;182983,53;209775,23;248232,56;251371,13;299552,44;292133,76;287326,26
Pinto Bandeira;4314548;-29;-54;-;-;-;32844,49;36171,97;47092,08;52349,98;48581,34;53416,9
Pirapó;4314555;-28,0439;-55,20009999999;28364,19;31741,1;31814,88;41632,21;44389,07;49937,43;58529,51;56661,7;67644,12
Piratini;4314605;-31,44729999999;-53,09729999999;182157,92;202992,95;226503,25;280870,63;311242,44;319403,68;352161,48;396353,82;415909,25
Planalto;4314704;-27,32969999999;-53,0575;98171,81;105718,08;113409,57;137469,67;153188,94;167451,64;186657,51;191425,37;195021,85
Poço das Antas;4314753;-29,4481;-51,6719;26793,98;27300,61;35023,3;58403,26;59033,79;62816,84;69358,51;71264,72;88241,05
Pontão;4314779;-28,05849999999;-52,67909999999;110778,22;133291,87;127495,12;189458,21;144814,79;206348,48;241103,75;213852,73;225483,93
Ponte Preta;4314787;-27,6587;-52,4848;26064,14;29712,4;28508,26;44891,35;44108,98;43732,29;53220,49;49552,86;61997,46
Portão;4314803;-29,70149999999;-51,24289999999;761657,15;843178,1;839537,77;971376,83;1144794,8;1141178,78;1113614,33;1077214,48;1207171,7
Porto Alegre;4314902;-30,032778;-51,23;42724991,84;48288171,02;54204832,5;57920358,27;63989576,2;68132501,89;72734881,19;73862305,95;77134613,18
Porto Lucena;4315008;-27,8569;-55,00999999999;53950,12;62288,12;59447,28;78950,47;79134,96;88546,85;100967,43;100507,8;104685,92
Porto Mauá;4315057;-27,57959999999;-54,6657;27848,01;32643,66;36335,09;41129,44;44889,25;50766,21;58472,26;54358,32;61307,9
Porto Vera Cruz;4315073;-27,7405;-54,8994;18368,52;21132,53;21623,99;29503,29;30367,09;29567,39;31534,96;32141,92;31548,53
Porto Xavier;4315107;-27,9082;-55,1379;93760,03;94029,43;97996,67;129139,24;126416,29;143121,02;159234,09;156012,3;175983,96
Pouso Novo;4315131;-29,1738;-52,2136;28793,86;31199,25;33382,23;39658,9;39830,53;37857,49;43183,11;43988,35;41813,81
Presidente Lucena;4315149;-29,5176;-51,1798;35205,24;43254,15;53857,62;69972,2;88839,12;101311,82;102932,37;104622,74;140250,61
Progresso;4315156;-29,24419999999;-52,31969999999;68682,03;82371,24;80218,55;100449,61;111796,62;107929,56;116456,49;125130,34;124203,54
Protásio Alves;4315172;-28,7572;-51,4757;27191,34;31750,28;29715,48;45306,79;47700,51;50530,66;52193,8;52386,31;51913,69
Putinga;4315206;-29,0045;-52,1569;53495,21;64413,65;59668,91;75064,09;83946,63;88124,94;90852,05;93335,27;94169,65
Quaraí;4315305;-30,384;-56,4483;241714,6;245685,29;268280,93;317497,63;363169,91;406222,35;423781,26;445210,02;447579,28
Quatro Irmãos;4315313;-27,81629999999;-52,44189999999;47980,19;59306,71;48342,34;81271,9;87464,53;100547,87;115552,88;106464,16;131904,73
Quevedos;4315321;-29,3504;-54,07889999999;58504,83;77982,39;67823,19;127328,84;123986,62;131883,82;152378,34;138696,92;180365,12
Quinze de Novembro;4315354;-28,7465;-53,1011;73117,85;90341,1;87933,03;135456,09;128531;128548,75;135244,8;137617,73;148010,34
Redentora;4315404;-27,664;-53,6407;68467,9;81458,49;73836,28;130731,32;134985,69;143071,31;162894,04;156732,03;174106,51
Relvado;4315453;-29,11639999999;-52,0778;30884,42;32497,9;31611,98;42690,7;45822,53;47097,15;48627,31;45837,28;47103,13
Restinga Sêca;4315503;-29,8188;-53,38069999999;199249,33;234426,12;256036,66;323497,44;351872,35;381607,17;405738,74;426060,17;463381,37
Rio dos Índios;4315552;-27,2973;-52,8417;39770,43;46333,9;43010,16;71519,86;63642,33;74262,81;79772,75;78961,31;87153,42
Rio Grande;4315602;-32,0349;-52,1071;5143120,72;5417421,73;6460758,15;8147934,39;7355044,74;7272308,28;9661298,56;9215700,57;10853316,45
Rio Pardo;4315701;-29,988;-52,37109999999;439145,53;498879,11;498903,68;700709,71;744528,56;827672,45;900446,98;872293,71;933339,54
Riozinho;4315750;-29,63899999999;-50,44879999999;72343,86;77125,28;89213,6;104081,67;114339,3;111258,96;108941,8;112681,48;123810,32
Roca Sales;4315800;-29,28839999999;-51,8658;203689,67;209491,68;205749,97;324411,08;394010,96;421164,93;437431,62;436850,14;462546,31
Rodeio Bonito;4315909;-27,4742;-53,1706;73327,96;88757,17;90902,64;115911,41;134331,55;143060,67;159951,4;185704,05;174930,41
Rolador;4315958;-28,25767;-54,81864;44484,97;54640,96;39178,25;76941,14;74520,48;75047,32;97887,89;82795,7;99764,41
Rolante;4316006;-29,6462;-50,58189999999;297375,39;347187,22;364447,27;421703,25;473839,4;514290,86;523132,96;566894,74;617912,04
Ronda Alta;4316105;-27,7758;-52,80559999999;155990,8;175685,95;167154,61;229019,05;250178,77;261922,1;310298,8;300104,57;351049,28
Rondinha;4316204;-27,83149999999;-52,90809999999;85922,71;96349,29;86312,07;132542,23;134368,26;163747,44;185458,28;176059,74;190152,97
Roque Gonzales;4316303;-28,1297;-55,0266;79677,25;90468,39;83592,52;110116,77;116270,9;572727,88;612481,01;772169,5;806687,96
Rosário do Sul;4316402;-30,2515;-54,9221;521125,02;610585,92;575138,64;707149,67;761640,17;833607,58;856639,29;921812,62;905708,42
Sagrada Família;4316428;-27,7085;-53,1351;25367,28;30192,89;24970,56;47172,19;52316,37;54451,12;59941,75;52447,15;57641,28
Saldanha Marinho;4316436;-28,3941;-53,097;64710,88;79776,83;60164,92;119502,71;105230,14;119259,17;146044,45;138117,38;164532
Salto do Jacuí;4316451;-29,09509999999;-53,21329999999;438445,71;410906,95;308407,09;238068,6;236673,24;471099,36;572270,25;615036,21;804656,17
Salvador das Missões;4316477;-28,1233;-54,83729999999;59578,99;67500,19;70516,5;84729,95;87126,16;98890,58;111599,54;114761,56;123684,57
Salvador do Sul;4316501;-29,4386;-51,5077;169695,29;200020,35;204047,41;256098,37;268183,45;270128,17;273131,74;282987,32;281333,08
Sananduva;4316600;-27,94699999999;-51,80789999999;278521,49;324791,48;354745,9;430210,01;445270,46;461218,33;511982,74;515991,77;597968,29
Santa Bárbara do Sul;4316709;-28,3653;-53,25099999999;263233,59;340281,07;342774,97;529098,11;490590,26;544829,91;669961,35;582261,43;787039,98
Santa Cecília do Sul;4316733;-28,1537;-51,9296;35137,59;44352,33;38418,45;59167,18;64464,12;64676,15;73892,32;69601,35;75300,57
Santa Clara do Sul;4316758;-29,47469999999;-52,08429999999;90469,96;118011,24;125761,46;161392,17;218576,34;218323,8;221436,99;230968,57;267037,44
Santa Cruz do Sul;4316808;-29,722;-52,4343;4176628,39;4845316,58;5445969,6;6706272,2;7984011,43;7764004,31;8180549,54;8238767,07;9485198,31
Santa Margarida do Sul;4316972;-30,32959999999;-54,08229999999;91181;78739,28;70429,85;128550,87;130708,44;181592,03;184069,73;161091,53;226962,54
Santa Maria;4316907;-29,6868;-53,81499999999;4006384,03;4573098,37;5041019,16;5755138,01;6475897,67;6357859,34;6703663,02;7152148,86;7793975,23
Santa Maria do Herval;4316956;-29,4902;-50,9919;123943,46;126017,35;135794,22;170699,14;177601,2;209108,49;207184,03;268147,43;192347,72
Santa Rosa;4317202;-27,8702;-54,47959999999;1486461,94;1725443,57;2084147,24;2245085,66;2331511,14;2407654,02;2597035,28;2810212,44;2997013,27
Santa Tereza;4317251;-29,1655;-51,7351;23491,17;25711,18;26718,52;31314,94;35661,11;36650,97;36612,28;42523,14;37497,47
Santa Vitória do Palmar;4317301;-33,52499999999;-53,37169999999;450869,25;447837,15;505974,33;639802,79;787276,21;834574,71;899585,52;960548,04;1344184,61
Santana da Boa Vista;4317004;-30,8697;-53,10999999999;73889,49;84274,75;91245,3;115205,05;130847,96;166137,67;191598,17;175436,18;188751,67
Santana do Livramento;4317103;-30,88769999999;-55,5315;873868,32;982736,51;1115493,13;1319803,05;1459029,9;1901570,28;2312632,94;2575389,32;2631507,12
Santiago;4317400;-29,18969999999;-54,86659999999;547609,39;634449,29;682185,81;852812,97;959555,02;1087455,95;1199377,55;1271105,2;1442761,19
Santo Ângelo;4317509;-28,3001;-54,2668;1203995,71;1364096,65;1422380,55;1758879,55;1872947,54;2033730,3;2212877,9;2318885,42;2649084,14
