variavel: Total;;;;;;;;
caminho: /Educação/Ensino Médio/Número de Concluintes/Total;;;;;;;;
fonte: Secretaria de Educação do Rio Grande do Sul. ;;;;;;;;
agrupador: Município;;;;;;;;
descricao: ;;;;;;;;
Município;ibge;latitude;longitude;2010 (-);2011 (-);2012 (-);2013 (-);2014 (-)
Santiago;4317400;-29,18969999999;-54,86659999999;392;363;370;448;511
Santo Ângelo;4317509;-28,3001;-54,2668;678;689;666;674;742
Santo Antônio da Patrulha;4317608;-29,82679999999;-50,51749999999;325;301;346;322;321
Santo Antônio das Missões;4317707;-28,51399999999;-55,22509999999;78;73;81;76;112
Santo Antônio do Palma;4317558;-28,4956;-52,02669999999;27;16;21;13;31
Santo Antônio do Planalto;4317756;-28,40309999999;-52,69919999999;16;12;19;15;12
Santo Augusto;4317806;-27,85259999999;-53,7776;104;136;131;148;172
Santo Cristo;4317905;-27,8263;-54,66199999999;116;129;104;115;120
Santo Expedito do Sul;4317954;-27,90739999999;-51,6433;35;37;38;28;31
São Borja;4318002;-28,6578;-56,00359999999;419;500;493;591;615
São Domingos do Sul;4318051;-28,53119999999;-51,886;37;32;30;45;28
São Francisco de Assis;4318101;-29,5547;-55,1253;150;189;187;192;204
São Francisco de Paula;4318200;-29,4404;-50,58279999999;115;125;110;137;169
São Gabriel;4318309;-30,3337;-54,3217;369;381;351;415;492
São Jerônimo;4318408;-29,97159999999;-51,72509999999;81;89;121;93;111
São João da Urtiga;4318424;-27,8195;-51,82569999999;50;63;59;49;50
São João do Polêsine;4318432;-29,61939999999;-53,44389999999;19;29;25;21;27
São Jorge;4318440;-28,4984;-51,7064;25;38;41;48;23
São José das Missões;4318457;-27,7789;-53,12259999999;10;36;28;29;29
São José do Herval;4318465;-29,052;-52,295;22;34;-;24;20
São José do Hortêncio;4318481;-29,52799999999;-51,245;29;22;36;42;29
São José do Inhacorá;4318499;-27,7251;-54,12749999999;18;29;20;31;25
São José do Norte;4318507;-32,01509999999;-52,03309999999;122;131;113;116;145
São José do Ouro;4318606;-27,7707;-51,5966;69;89;49;89;59
São José do Sul;4318614;-29,529;-51,48709999999;17;17;19;28;17
São José dos Ausentes;4318622;-28,74759999999;-50,0677;32;26;38;33;42
São Leopoldo;4318705;-29,7545;-51,14979999999;1340;1279;1160;1303;1301
São Lourenço do Sul;4318804;-31,3564;-51,97149999999;273;275;239;220;270
São Luiz Gonzaga;4318903;-28,41199999999;-54,9559;345;333;316;353;390
São Marcos;4319000;-28,9677;-51,0696;143;139;118;138;161
São Martinho;4319109;-27,7112;-53,9699;54;46;38;36;38
São Martinho da Serra;4319125;-29,5397;-53,859;20;16;20;22;14
São Miguel das Missões;4319158;-28,556;-54,5559;47;46;63;57;81
São Nicolau;4319208;-28,18339999999;-55,2654;61;40;43;49;44
São Paulo das Missões;4319307;-28,0195;-54,94039999999;55;69;67;45;62
São Pedro da Serra;4319356;-29,4193;-51,51339999999;-;-;-;-;0
São Pedro das Missões;4319364;-27,77321999999;-53,25047;17;15;25;20;23
São Pedro do Butiá;4319372;-28,1243;-54,8926;34;26;35;31;27
São Pedro do Sul;4319406;-29,6202;-54,18549999999;73;80;61;48;114
São Sebastião do Caí;4319505;-29,5885;-51,37489999999;149;155;172;150;205
São Sepé;4319604;-30,1643;-53,56029999999;117;104;99;109;80
São Valentim;4319703;-27,55829999999;-52,52369999999;46;51;39;36;31
São Valentim do Sul;4319711;-29,0451;-51,7684;17;24;18;12;19
São Valério do Sul;4319737;-27,7906;-53,93679999999;8;14;13;13;15
São Vendelino;4319752;-29,3729;-51,3675;33;22;29;25;31
São Vicente do Sul;4319802;-29,68819999999;-54,6826;93;72;110;101;134
Sapiranga;4319901;-29,63489999999;-51,0065;517;582;636;563;598
Sapucaia do Sul;4320008;-29,8276;-51,145;543;502;662;618;926
Sarandi;4320107;-27,942;-52,92309999999;123;116;140;151;132
Seberi;4320206;-27,4829;-53,4026;90;77;111;98;70
Sede Nova;4320230;-27,6367;-53,9493;33;20;17;23;25
Segredo;4320263;-29,3523;-52,9767;28;42;43;41;53
Selbach;4320305;-28,6294;-52,9498;48;26;32;28;39
Senador Salgado Filho;4320321;-28,025;-54,55069999999;22;28;21;33;44
Sentinela do Sul;4320354;-30,6107;-51,58619999999;49;36;50;19;27
Serafina Corrêa;4320404;-28,71259999999;-51,93529999999;90;100;108;114;122
Sério;4320453;-29,3904;-52,2685;25;20;19;20;29
Sertão;4320503;-27,9798;-52,2588;154;68;155;133;154
Sertão Santana;4320552;-30,45619999999;-51,6017;51;54;62;54;59
Sete de Setembro;4320578;-28,13619999999;-54,4637;27;14;34;14;33
Severiano de Almeida;4320602;-27,43619999999;-52,12169999999;45;46;55;33;37
Silveira Martins;4320651;-29,64669999999;-53,591;22;22;24;19;36
Sinimbu;4320677;-29,53569999999;-52,5305;92;82;75;85;44
Sobradinho;4320701;-29,4194;-53,0326;125;141;96;104;120
Soledade;4320800;-28,8306;-52,5131;245;269;257;274;260
Tabaí;4320859;-29,643;-51,68229999999;44;40;51;48;35
Tapejara;4320909;-28,0652;-52,0097;157;158;175;159;161
Tapera;4321006;-28,6277;-52,86119999999;93;109;103;83;104
Tapes;4321105;-30,66829999999;-51,39909999999;91;99;94;98;70
Taquara;4321204;-29,6505;-50,7753;597;606;572;557;565
Taquari;4321303;-29,7943;-51,86529999999;239;226;228;177;227
Taquaruçu do Sul;4321329;-27,4004;-53,4703;24;16;19;20;20
Tavares;4321352;-31,2843;-51,088;46;38;49;43;53
Tenente Portela;4321402;-27,37109999999;-53,75849999999;125;122;156;139;122
Terra de Areia;4321436;-29,57819999999;-50,06439999999;54;80;63;56;58
Teutônia;4321451;-29,4482;-51,8044;273;238;263;271;280
Tio Hugo;4321469;-28,57404;-52,5949;30;15;22;31;20
Tiradentes do Sul;4321477;-27,4022;-54,0814;50;45;54;51;56
Toropi;4321493;-29,4782;-54,2244;33;25;32;25;29
Torres;4321501;-29,3334;-49,7333;288;314;261;337;312
Tramandaí;4321600;-29,9841;-50,13219999999;276;262;282;315;387
Travesseiro;4321626;-29,29769999999;-52,05319999999;14;22;23;20;17
Três Arroios;4321634;-27,50029999999;-52,14479999999;43;42;42;27;21
Três Cachoeiras;4321667;-29,44869999999;-49,9275;86;93;99;73;89
Três Coroas;4321709;-29,5137;-50,77389999999;107;121;117;138;171
Três de Maio;4321808;-27,78;-54,2357;269;207;280;263;205
Três Forquilhas;4321832;-29,53839999999;-50,07079999999;18;26;26;27;26
Três Palmeiras;4321857;-27,6139;-52,84369999999;39;60;61;51;51
Três Passos;4321907;-27,4555;-53,9296;222;197;193;209;238
Trindade do Sul;4321956;-27,5239;-52,8956;37;42;39;71;65
Triunfo;4322004;-29,92909999999;-51,7075;247;272;346;298;303
Tucunduva;4322103;-27,65729999999;-54,44389999999;41;38;50;45;59
Tunas;4322152;-29,10389999999;-52,9538;57;49;52;51;52
Tupanci do Sul;4322186;-27,92409999999;-51,5383;15;19;21;20;7
Tupanciretã;4322202;-29,08579999999;-53,84449999999;120;123;95;128;167
Tupandi;4322251;-29,4772;-51,4174;32;30;42;46;38
Tuparendi;4322301;-27,75979999999;-54,4814;83;65;65;53;69
Turuçu;4322327;-31,4173;-52,1706;37;29;24;37;55
Ubiretama;4322343;-28,0404;-54,68589999999;32;25;24;25;36
União da Serra;4322350;-28,7833;-52,0238;9;14;14;15;17
Unistalda;4322376;-29,03999999999;-55,15169999999;37;18;34;42;35
Uruguaiana;4322400;-29,76139999999;-57,08529999999;1024;1159;1096;1098;1312
Vacaria;4322509;-28,50789999999;-50,9418;443;449;476;414;518
Vale do Sol;4322533;-29,59669999999;-52,6839;44;41;42;62;40
Vale Real;4322541;-29,3919;-51,25589999999;25;34;41;27;32
Vale Verde;4322525;-29,7864;-52,18569999999;32;40;26;23;34
Vanini;4322558;-28,4758;-51,8447;20;29;26;21;24
Venâncio Aires;4322608;-29,6143;-52,19319999999;513;538;527;434;534
Vera Cruz;4322707;-29,71839999999;-52,5152;168;193;189;204;184
Veranópolis;4322806;-28,9312;-51,5516;241;198;181;230;203
Vespasiano Correa;4322855;-29,0655;-51,8625;11;19;18;12;14
Viadutos;4322905;-27,5716;-52,02109999999;66;72;66;52;53
Viamão;4323002;-30,0819;-51,01939999999;1551;1582;1508;1626;1753
Vicente Dutra;4323101;-27,16079999999;-53,4022;39;46;44;42;39
Victor Graeff;4323200;-28,56319999999;-52,74949999999;36;40;26;26;29
Vila Flores;4323309;-28,8598;-51,5504;27;33;34;36;28
Vila Lângaro;4323358;-28,1062;-52,14379999999;14;27;31;21;26
Vila Maria;4323408;-28,5359;-52,14869999999;45;44;45;42;41
Vila Nova do Sul;4323457;-30,3461;-53,87599999999;34;27;25;26;32
Vista Alegre;4323507;-27,3686;-53,4919;30;34;26;20;33
Vista Alegre do Prata;4323606;-28,80519999999;-51,7946;19;16;11;15;10
Vista Gaúcha;4323705;-27,29019999999;-53,6974;30;49;27;35;36
Vitória das Missões;4323754;-28,3516;-54,50399999999;33;25;33;35;24
Westfalia;4323770;-29,3744;-51,74629999999;32;21;29;27;37
Xangri-lá;4323804;-29,8065;-50,0519;96;78;77;57;53
