variavel: Total;;;;;;;;
caminho: /Educação/Ensino Médio/Número de Concluintes/Total;;;;;;;;
fonte: Secretaria de Educação do Rio Grande do Sul. ;;;;;;;;
agrupador: Município;;;;;;;;
descricao: ;;;;;;;;
Município;ibge;latitude;longitude;2010 (-);2011 (-);2012 (-);2013 (-);2014 (-)
Capela de Santana;4304689;-29,6961;-51,328;59;61;61;43;72
Capitão;4304697;-29,26739999999;-51,9853;22;30;35;34;40
Capivari do Sul;4304671;-30,1382;-50,51509999999;37;31;28;46;36
Caraá;4304713;-29,78689999999;-50,4316;44;41;57;52;49
Carazinho;4304705;-28,2958;-52,7933;536;486;494;515;527
Carlos Barbosa;4304804;-29,2969;-51,50289999999;229;210;280;203;255
Carlos Gomes;4304853;-27,71669999999;-51,9121;30;19;26;16;21
Casca;4304903;-28,5605;-51,98149999999;65;69;113;95;108
Caseiros;4304952;-28,25819999999;-51,6861;22;22;32;24;21
Catuípe;4305009;-28,2554;-54,01319999999;59;63;49;66;68
Caxias do Sul;4305108;-29,1629;-51,1792;3037;2871;3081;3387;3854
Centenário;4305116;-27,7616;-51,99839999999;29;32;29;30;19
Cerrito;4305124;-31,84189999999;-52,8004;47;58;51;40;39
Cerro Branco;4305132;-29,657;-52,9406;37;42;46;27;35
Cerro Grande;4305157;-27,6106;-53,1672;24;20;16;25;17
Cerro Grande do Sul;4305173;-30,59049999999;-51,74179999999;32;43;69;85;106
Cerro Largo;4305207;-28,1462;-54,7428;141;134;140;118;128
Chapada;4305306;-28,0559;-53,06649999999;78;79;93;81;93
Charqueadas;4305355;-29,9625;-51,6289;232;272;280;264;255
Charrua;4305371;-27,9493;-52,015;20;15;17;14;16
Chiapetta;4305405;-27,92299999999;-53,94189999999;35;32;28;27;21
Chuí;4305439;-33,68659999999;-53,4594;51;38;32;40;41
Chuvisca;4305447;-30,75039999999;-51,9737;31;41;46;49;40
Cidreira;4305454;-30,16039999999;-50,2338;68;73;83;64;91
Ciríaco;4305504;-28,34189999999;-51,87409999999;45;46;54;47;59
Colinas;4305587;-29,38149999999;-51,8526;19;17;13;13;20
Colorado;4305603;-28,5258;-52,9928;25;40;26;22;32
Condor;4305702;-28,2075;-53,49049999999;48;62;67;49;69
Constantina;4305801;-27,73199999999;-52,9938;93;85;86;103;87
Coqueiro Baixo;4305835;-29,1722;-52,0989;11;18;10;15;16
Coqueiros do Sul;4305850;-28,11939999999;-52,78419999999;24;18;27;28;22
Coronel Barros;4305871;-28,39219999999;-54,0686;26;14;23;23;27
Coronel Bicaco;4305900;-27,7197;-53,70219999999;48;39;55;39;41
Coronel Pilar;4305934;-29,2684;-51,68789999999;21;12;8;17;13
Cotiporã;4305959;-28,9891;-51,69709999999;32;46;40;23;33
Coxilha;4305975;-28,128;-52,3023;29;19;31;22;26
Crissiumal;4306007;-27,4999;-54,0994;146;126;141;144;144
Cristal;4306056;-31,0046;-52,04359999999;41;56;37;53;46
Cristal do Sul;4306072;-27,452;-53,24219999999;22;16;19;22;18
Cruz Alta;4306106;-28,645;-53,60479999999;447;421;435;465;501
Cruzaltense;4306130;-27,6644;-52,6492;28;25;28;27;24
Cruzeiro do Sul;4306205;-29,5148;-51,9928;87;70;88;86;72
David Canabarro;4306304;-28,38489999999;-51,84819999999;65;82;74;63;68
Derrubadas;4306320;-27,26419999999;-53,8645;32;29;31;30;36
Dezesseis de Novembro;4306353;-28,219;-55,0617;27;36;25;32;41
Dilermando de Aguiar;4306379;-29,7054;-54,2122;12;21;25;24;25
Dois Irmãos;4306403;-29,5836;-51,08979999999;160;177;194;198;251
Dois Irmãos das Missões;4306429;-27,66209999999;-53,5304;20;35;14;26;38
Dois Lajeados;4306452;-28,983;-51,83959999999;30;41;30;31;34
Dom Feliciano;4306502;-30,70039999999;-52,1026;45;64;51;67;107
Dom Pedrito;4306601;-30,9756;-54,6694;279;243;208;225;349
Dom Pedro de Alcântara;4306551;-29,3639;-49,853;24;21;21;21;24
Dona Francisca;4306700;-29,61949999999;-53,36169999999;31;36;13;23;12
Doutor Maurício Cardoso;4306734;-27,5103;-54,35779999999;40;66;57;49;57
Doutor Ricardo;4306759;-29,084;-51,9971;31;24;25;26;20
Eldorado do Sul;4306767;-30,0847;-51,61869999999;167;156;149;96;219
Encantado;4306809;-29,23509999999;-51,8703;168;175;187;159;185
Encruzilhada do Sul;4306908;-30,54299999999;-52,5204;209;192;197;215;166
Engenho Velho;4306924;-27,706;-52,91449999999;13;15;9;12;16
Entre Rios do Sul;4306957;-27,5298;-52,73469999999;28;27;40;41;24
Entre-ijuís;4306932;-28,3686;-54,26859999999;53;64;54;44;55
Erebango;4306973;-27,85439999999;-52,3005;27;22;15;15;27
Erechim;4307005;-27,63639999999;-52,2697;866;891;940;968;1039
Ernestina;4307054;-28,49769999999;-52,58359999999;29;28;24;27;22
Erval Grande;4307203;-27,3926;-52,57399999999;40;39;37;32;46
Erval Seco;4307302;-27,5443;-53,5005;51;50;55;68;42
Esmeralda;4307401;-28,0518;-51,1933;28;34;20;31;28
Esperança do Sul;4307450;-27,36029999999;-53,9891;15;16;15;30;22
Espumoso;4307500;-28,7286;-52,8461;108;128;105;133;128
Estação;4307559;-27,91349999999;-52,2635;42;36;48;40;64
Estância Velha;4307609;-29,6535;-51,1843;252;307;307;294;356
Esteio;4307708;-29,852;-51,1841;522;533;526;572;568
Estrela;4307807;-29,5016;-51,9605;259;234;230;280;346
Estrela Velha;4307815;-29,17129999999;-53,16389999999;25;37;30;28;22
Eugênio de Castro;4307831;-28,5315;-54,15059999999;20;14;15;22;17
Fagundes Varela;4307864;-28,8794;-51,7014;14;23;30;16;34
Farroupilha;4307906;-29,2227;-51,3419;539;531;529;609;584
Faxinal do Soturno;4308003;-29,5788;-53,44839999999;35;41;34;35;71
Faxinalzinho;4308052;-27,4238;-52,67889999999;22;26;33;30;26
Fazenda Vilanova;4308078;-29,5885;-51,8217;36;28;34;30;45
Feliz;4308102;-29,4527;-51,30319999999;95;105;86;112;128
Flores da Cunha;4308201;-29,02619999999;-51,1875;149;188;195;195;212
Floriano Peixoto;4308250;-27,8614;-52,08379999999;13;23;14;23;27
Fontoura Xavier;4308300;-28,9816;-52,34449999999;117;98;123;108;99
Formigueiro;4308409;-30,00349999999;-53,49589999999;42;56;70;50;51
Forquetinha;4308433;-29,3792;-52,0917;15;14;15;27;19
Fortaleza dos Valos;4308458;-28,7986;-53,22489999999;44;36;23;30;40
Frederico Westphalen;4308508;-27,35859999999;-53,3958;369;375;400;424;429
Garibaldi;4308607;-29,259;-51,5352;293;201;239;238;253
Garruchos;4308656;-28,1944;-55,6383;36;26;27;30;31
Gaurama;4308706;-27,58559999999;-52,0915;47;51;43;50;47
General Câmara;4308805;-29,90319999999;-51,7612;55;66;52;60;52
Gentil;4308854;-28,4316;-52,0337;13;18;13;17;13
Getúlio Vargas;4308904;-27,8911;-52,22939999999;124;144;107;123;136
Giruá;4309001;-28,02969999999;-54,3517;174;143;145;158;182
Glorinha;4309050;-29,87979999999;-50,7734;59;71;66;58;70
Gramado;4309100;-29,3733;-50,87619999999;227;238;195;281;277
Gramado dos Loureiros;4309126;-27,4429;-52,9149;26;15;21;30;12
Gramado Xavier;4309159;-29,2706;-52,5795;28;39;53;42;39
Gravataí;4309209;-29,94129999999;-50,98689999999;1870;1768;1876;1887;2012
Guabiju;4309258;-28,5421;-51,6948;21;12;15;23;14
Guaíba;4309308;-30,10859999999;-51,3233;642;577;595;704;770
Guaporé;4309407;-28,8399;-51,88949999999;264;291;306;287;256
Guarani das Missões;4309506;-28,1491;-54,56289999999;188;147;159;180;136
Harmonia;4309555;-29,5456;-51,4185;38;36;45;27;40
Herval;4307104;-32,024;-53,39439999999;38;26;30;44;64
Herveiras;4309571;-29,4552;-52,65529999999;20;24;21;28;37
Horizontina;4309605;-27,6282;-54,3053;200;174;217;197;215
Hulha Negra;4309654;-31,4067;-53,8667;53;69;56;63;72
Humaitá;4309704;-27,56909999999;-53,96949999999;58;48;52;36;38
Ibarama;4309753;-29,4203;-53,1295;24;37;39;37;30
Ibiaçá;4309803;-28,0566;-51,8599;46;34;31;30;24
Ibiraiaras;4309902;-28,37409999999;-51,6377;67;70;46;56;51
Ibirapuitã;4309951;-28,6247;-52,51579999999;44;51;41;43;38
Ibirubá;4310009;-28,63019999999;-53,0961;159;169;136;162;161
Igrejinha;4310108;-29,56929999999;-50,79189999999;266;228;296;247;300
Ijuí;4310207;-28,3881;-53,92;768;699;655;699;765
Ilópolis;4310306;-28,9282;-52,12579999999;46;41;48;44;33
Imbé;4310330;-29,9753;-50,1281;134;158;134;164;167
Imigrante;4310363;-29,3508;-51,7747;29;28;22;30;23
Independência;4310405;-27,8354;-54,1886;47;36;41;68;54
Inhacorá;4310413;-27,8752;-54,015;27;19;20;26;18
Ipê;4310439;-28,8171;-51,28589999999;51;47;47;75;59
Ipiranga do Sul;4310462;-27,9404;-52,4271;15;36;13;12;18
Iraí;4310504;-27,1951;-53,2543;68;68;40;73;75
