variavel: Total;;;;;;;;;;;;
caminho: /Energia Elétrica/Consumo/Total;;;;;;;;;;;;
fonte: Distribuidoras de Energia Elétrica do Rio Grande do Sul.;;;;;;;;;;;;
agrupador: Município;;;;;;;;;;;;
descricao: ;;;;;;;;;;;;
Município;ibge;latitude;longitude;2010 (MWh);2011 (MWh);2012 (MWh);2013 (MWh);2014 (MWh);2015 (MWh);2016 (MWh);2017 (MWh);2018 (MWh)
Morro Redondo;4312450;-31,58869999999;-52,6261;8990;9532;9799;9917;10813;10599;7905;7940;7707
Morro Reuter;4312476;-29,5379;-51,08109999999;15864;16610;17477;18120;19807;18784;19309;20565;20894
Mostardas;4312500;-31,10539999999;-50,91669999999;35611;36229;38989;39697;43998;41738;40340;43227;43671
Muçum;4312609;-29,163;-51,8714;15025;15128;15497;15868;16730;15197;15664;16884;17198
Muitos Capões;4312617;-28,31319999999;-51,18359999999;5769;5969;5786;6482;9216;12052;12891;15284;16862
Muliterno;4312625;-28,32529999999;-51,7697;277;297;317;322;367;294;417;441;401
Não-Me-Toque;4312658;-28,45479999999;-52,81819999999;42667;46721;50811;55584;56993;54936;53151;55600;57465
Nonoai;4312708;-27,3689;-52,77559999999;11956;15695;16668;17553;19339;19115;20606;21202;21315
Nova Alvorada;4312757;-28,6822;-52,1631;6250;6821;7177;7534;7892;7349;7178;7204;7779
Nova Araçá;4312807;-28,6537;-51,7458;29247;30881;28865;31118;33462;34204;38717;38297;35486
Nova Bassano;4312906;-28,72909999999;-51,7072;33120;34031;34085;38031;40264;36266;32426;31989;33894
Nova Boa Vista;4312955;-27,99259999999;-52,9784;3190;3366;3551;3880;4260;4344;4859;5490;5918
Nova Bréscia;4313003;-29,2182;-52,0319;9459;10021;10797;10953;11943;11700;12808;13401;13885
Nova Candelária;4313011;-27,6137;-54,10739999999;6488;6706;7263;7568;8004;8476;8730;9518;9625
Nova Esperança do Sul;4313037;-29,4066;-54,8293;11340;12132;12390;12688;13017;12859;14052;15313;15681
Nova Hartz;4313060;-29,5807;-50,90509999999;34790;35720;36053;38045;40813;38926;39552;39970;39227
Nova Pádua;4313086;-29,0275;-51,3098;4591;4526;5116;5378;5815;6049;5975;6673;6387
Nova Palma;4313102;-29,471;-53,46889999999;0;1;18;17;14;15;16;15;15
Nova Petrópolis;4313201;-29,37409999999;-51,1135;52099;52881;55774;60370;66085;65929;68502;67783;68371
Nova Prata;4313300;-28,7799;-51,6113;90946;50094;50415;50563;54879;55448;54002;55250;55440
Nova Roma do Sul;4313359;-28,98819999999;-51,4095;10137;10551;10629;11425;11610;10624;9895;11468;11644
Nova Santa Rita;4313375;-29,85249999999;-51,2837;49887;51941;103400;102256;108924;103545;94299;90986;91879
Novo Barreiro;4313490;-27,90769999999;-53,1103;3409;4853;5095;5485;5947;5992;6169;6321;6520
Novo Cabrais;4313391;-29,73379999999;-52,9489;646;678;747;736;826;755;749;795;869
Novo Hamburgo;4313409;-29,6876;-51,1328;616292;629739;647815;648366;689585;629483;617630;617788;612623
Novo Machado;4313425;-27,57649999999;-54,50359999999;5652;5804;6087;5942;6194;6171;6406;6825;6678
Novo Xingu;4313466;-27,74309999999;-53,06159999999;2001;2091;2199;2532;2516;2483;2746;2870;2939
Osório;4313508;-29,8881;-50,2667;106295;108620;112047;117930;128684;124857;99910;97010;97421
Paim Filho;4313607;-27,7075;-51,76299999999;5353;5454;5791;6044;6267;6215;6074;6229;6394
Palmares do Sul;4313656;-30,25349999999;-50,5103;42098;43087;43299;45119;49147;43480;40648;41349;40934
Palmeira das Missões;4313706;-27,9006;-53,3134;52888;59528;70002;76574;76971;73639;77843;80624;78124
Palmitinho;4313805;-27,3596;-53,558;7892;8383;8652;9016;9899;10222;10308;10813;13836
Panambi;4313904;-28,2833;-53,50229999999;100674;112887;115357;124555;122542;76061;73389;76592;80043
Pantano Grande;4313953;-30,1901;-52,3729;21906;23887;25328;25934;26868;25323;25377;23479;24873
Paraí;4314001;-28,59639999999;-51,7896;19852;21094;21477;23070;24532;24625;25266;25428;25369
Paraíso do Sul;4314027;-29,6717;-53,14399999999;11079;12095;12382;12244;13775;12746;12909;13371;13468
Pareci Novo;4314035;-29,6365;-51,39739999999;7239;7513;8236;8329;9447;9525;10295;10735;10638
Parobé;4314050;-29,6243;-50,8312;82305;86123;85293;91373;99316;94889;93252;96338;101053
Passa Sete;4314068;-29,45769999999;-52,95989999999;4232;4534;4865;4983;5654;5374;5015;5434;5639
Passo do Sobrado;4314076;-29,748;-52,27479999999;11541;12173;12456;12847;14715;14126;14407;14996;14755
Passo Fundo;4314100;-28,2576;-52,4091;342222;448683;454063;490458;522326;513981;509794;508763;523637
Paulo Bento;4314134;-27,6978;-52,42609999999;10488;11640;11590;12201;12929;15052;19214;22506;21466
Paverama;4314159;-29,5485;-51,73389999999;7070;8925;9499;10557;9717;7607;9412;9353;8463
Pedras Altas;4314175;-31,72169999999;-53,58379999999;2879;3281;3520;3147;3460;3606;3694;3439;3946
Pedro Osório;4314209;-31,8642;-52,81839999999;9326;9739;10094;10015;10520;10353;10672;10637;10720
Pejuçara;4314308;-28,4283;-53,65789999999;4196;4194;3970;4152;4460;4452;4410;4594;4649
Pelotas;4314407;-31,7649;-52,3371;524290;562859;579678;587112;636594;618884;575986;528220;538760
Picada Café;4314423;-29,4464;-51,13669999999;18317;18461;19043;20056;19161;17005;17136;16564;16889
Pinhal da Serra;4314464;-27,86339999999;-51,1702;2573;4009;2367;2516;2722;2611;2990;3075;3122
Pinhal Grande;4314472;-29,34499999999;-53,3207;4188;4326;4428;4673;5175;5074;5208;5242;5397
Pinheirinho do Vale;4314498;-27,21089999999;-53,60799999999;4858;5191;5467;5690;6049;6072;6273;6618;6801
Pinheiro Machado;4314506;-31,5794;-53,3798;67566;72545;70789;70606;72841;59167;12957;12759;12651
Pinto Bandeira;4314548;-29;-54;-;-;-;5263;6882;6544;6403;7425;6808
Pirapó;4314555;-28,0439;-55,20009999999;2672;2926;2896;3007;3100;2299;1841;1888;2006
Piratini;4314605;-31,44729999999;-53,09729999999;16253;17178;18113;18568;19789;18995;19636;20605;21885
Planalto;4314704;-27,32969999999;-53,0575;12235;12872;13795;14340;15259;15334;15214;16130;17271
Poço das Antas;4314753;-29,4481;-51,6719;-;36;35;34;36;32;11;5;7
Ponte Preta;4314787;-27,6587;-52,4848;3401;3279;3268;3444;3093;3063;3039;3163;3825
Portão;4314803;-29,70149999999;-51,24289999999;87637;92161;92500;97111;100840;93305;92718;95209;97874
Porto Alegre;4314902;-30,032778;-51,23;3373457;3457159;3590739;3465686;3816350;3589470;3239699;2985048;2953336
Porto Lucena;4315008;-27,8569;-55,00999999999;3593;3800;3900;3955;4315;4266;4332;4391;4387
Porto Mauá;4315057;-27,57959999999;-54,6657;2892;2974;3152;3117;3288;3228;3309;3325;3427
Porto Vera Cruz;4315073;-27,7405;-54,8994;1087;1146;1163;1183;1301;1257;1308;1393;1419
Porto Xavier;4315107;-27,9082;-55,1379;12457;13785;13512;14136;14783;14887;15207;15641;16563
Presidente Lucena;4315149;-29,5176;-51,1798;8767;9838;11241;12585;14223;14598;15824;17864;18018
Protásio Alves;4315172;-28,7572;-51,4757;3399;3868;4033;4253;4511;4811;4924;4849;5027
Putinga;4315206;-29,0045;-52,1569;6419;6833;6475;6498;6508;6697;6489;6871;7023
Quaraí;4315305;-30,384;-56,4483;34664;35431;35741;38173;39618;38086;39093;37364;41980
Quatro Irmãos;4315313;-27,81629999999;-52,44189999999;2331;2501;2564;2727;2835;2794;3010;3173;3157
Quevedos;4315321;-29,3504;-54,07889999999;2341;2511;2666;2695;3027;2900;3054;3139;3345
Quinze de Novembro;4315354;-28,7465;-53,1011;2725;2833;3081;3222;3764;3868;4060;4184;4334
Redentora;4315404;-27,664;-53,6407;6255;6786;8277;8094;8653;8503;9015;9629;9354
Relvado;4315453;-29,11639999999;-52,0778;2888;2980;2942;2906;3082;2914;2897;3031;3005
Restinga Sêca;4315503;-29,8188;-53,38069999999;2449;4741;4365;3756;4032;2931;2538;3418;4257
Rio dos Índios;4315552;-27,2973;-52,8417;2682;2751;2877;2994;3258;3339;3340;3608;3705
Rio Grande;4315602;-32,0349;-52,1071;472404;402859;533545;550981;588475;570971;406806;385606;390453
Rio Pardo;4315701;-29,988;-52,37109999999;55575;57569;60299;60976;65354;59595;59676;60754;64528
Riozinho;4315750;-29,63899999999;-50,44879999999;7809;8417;8687;9212;9420;9445;9470;9609;9816
Roca Sales;4315800;-29,28839999999;-51,8658;34138;24581;28962;28307;29183;28968;31360;32277;32575
Rolador;4315958;-28,25767;-54,81864;473;490;504;505;531;514;498;555;566
Rolante;4316006;-29,6462;-50,58189999999;29781;31347;33617;35739;38849;38645;39321;40542;41730
Ronda Alta;4316105;-27,7758;-52,80559999999;8493;8703;9105;9508;10272;10170;10350;10634;10710
Rondinha;4316204;-27,83149999999;-52,90809999999;7386;7636;8010;8232;8940;9202;9814;10101;10414
Roque Gonzales;4316303;-28,1297;-55,0266;8654;8517;7619;8162;8908;9909;10321;10791;11108
Rosário do Sul;4316402;-30,2515;-54,9221;51012;55448;55053;54410;59131;55706;56067;56065;61007
Sagrada Família;4316428;-27,7085;-53,1351;2070;2189;2355;2385;2751;2847;2959;3232;3322
Saldanha Marinho;4316436;-28,3941;-53,097;2555;2667;2783;2869;3058;2965;3324;3421;3438
Salto do Jacuí;4316451;-29,09509999999;-53,21329999999;21139;21605;23409;23836;25348;25122;25582;26096;26242
Salvador das Missões;4316477;-28,1233;-54,83729999999;3840;4158;4436;4443;4874;4990;5612;5419;5268
Salvador do Sul;4316501;-29,4386;-51,5077;779;785;786;817;883;878;934;1072;1117
Sananduva;4316600;-27,94699999999;-51,80789999999;29719;32074;33025;36078;40027;40350;40220;41639;42586
Santa Bárbara do Sul;4316709;-28,3653;-53,25099999999;14109;15119;17218;15599;17177;16195;17698;19131;18412
Santa Clara do Sul;4316758;-29,47469999999;-52,08429999999;182;190;203;206;234;221;171;243;235
Santa Cruz do Sul;4316808;-29,722;-52,4343;332223;348744;356318;360573;391587;363022;352012;370613;378183
Santa Margarida do Sul;4316972;-30,32959999999;-54,08229999999;2453;2723;2951;2749;3127;2540;2762;2574;3029
Santa Maria;4316907;-29,6868;-53,81499999999;461033;484284;511795;521033;574754;531470;541300;548470;577849
Santa Maria do Herval;4316956;-29,4902;-50,9919;12378;12332;12839;13632;15102;14953;15120;15351;15194
Santa Rosa;4317202;-27,8702;-54,47959999999;161682;196007;204843;216136;221212;211684;216778;249792;261600
Santa Tereza;4317251;-29,1655;-51,7351;3483;3578;3572;3918;3503;3526;3264;3316;3132
Santa Vitória do Palmar;4317301;-33,52499999999;-53,37169999999;101543;109881;111142;102768;100794;106675;112135;111121;119347
Santana da Boa Vista;4317004;-30,8697;-53,10999999999;5862;6167;6592;6855;7342;6857;6969;7190;7440
Santana do Livramento;4317103;-30,88769999999;-55,5315;93221;98795;107251;111895;119488;110145;112826;113346;118836
Santiago;4317400;-29,18969999999;-54,86659999999;57932;61244;63764;65945;73122;69752;72514;72011;73777
Santo Ângelo;4317509;-28,3001;-54,2668;147845;176969;168847;187428;197118;179536;187610;198331;218820
Santo Antônio da Patrulha;4317608;-29,82679999999;-50,51749999999;70542;81803;87371;94664;103718;99578;99353;96576;92282
Santo Antônio das Missões;4317707;-28,51399999999;-55,22509999999;5844;6445;5660;5232;5559;5025;5625;6884;5625
Santo Antônio do Palma;4317558;-28,4956;-52,02669999999;3427;3826;4101;4230;4538;4240;4398;4767;4938
Santo Augusto;4317806;-27,85259999999;-53,7776;21675;30709;36168;33692;37067;34310;36181;37862;40165
Santo Cristo;4317905;-27,8263;-54,66199999999;31017;33484;35819;36282;38239;37409;38377;39553;40487
Santo Expedito do Sul;4317954;-27,90739999999;-51,6433;1647;1648;1731;1699;1754;1677;1653;1681;1699
São Borja;4318002;-28,6578;-56,00359999999;168424;174913;180893;178145;191793;172230;170688;175732;179649
São Domingos do Sul;4318051;-28,53119999999;-51,886;2337;2439;2535;2664;2831;2988;3589;4239;4768
São Francisco de Assis;4318101;-29,5547;-55,1253;18115;19956;20441;20270;22490;21130;20863;21362;22904
São Francisco de Paula;4318200;-29,4404;-50,58279999999;37796;40067;41432;42837;46219;45953;46306;46556;49409
São Gabriel;4318309;-30,3337;-54,3217;79430;84466;87352;87563;96482;93030;95122;97125;106010
São Jerônimo;4318408;-29,97159999999;-51,72509999999;28532;32537;34390;35546;40917;39468;39617;40888;40706
São João da Urtiga;4318424;-27,8195;-51,82569999999;4266;4467;5045;5125;5627;5706;5810;6052;6174
São João do Polêsine;4318432;-29,61939999999;-53,44389999999;65;124;119;111;66;29;94;67;93
São Jorge;4318440;-28,4984;-51,7064;5221;5363;5482;5672;5921;5891;6080;6471;6778
São José das Missões;4318457;-27,7789;-53,12259999999;2408;2385;2509;2648;2846;2880;2859;2937;3125
São José do Hortêncio;4318481;-29,52799999999;-51,245;10515;11009;11878;12360;12747;11554;11981;11761;11988
São José do Inhacorá;4318499;-27,7251;-54,12749999999;2556;2821;3160;3285;3537;3459;3533;3692;5090
São José do Norte;4318507;-32,01509999999;-52,03309999999;21999;22345;23980;24604;28142;30404;33135;37912;30935
São José do Ouro;4318606;-27,7707;-51,5966;10031;10897;10990;11599;13017;12469;12604;13002;13261
São José do Sul;4318614;-29,529;-51,48709999999;3260;3510;3675;3929;4513;4419;4852;5202;5230
São José dos Ausentes;4318622;-28,74759999999;-50,0677;4525;4411;4938;5016;5058;5270;5573;6253;6694
São Leopoldo;4318705;-29,7545;-51,14979999999;555324;576588;606386;628080;665572;605445;581815;590420;600971
São Lourenço do Sul;4318804;-31,3564;-51,97149999999;55290;57716;60102;61409;69107;68286;68660;74421;73731
São Luiz Gonzaga;4318903;-28,41199999999;-54,9559;73172;79498;87880;92950;90963;81919;81467;94409;100442
São Marcos;4319000;-28,9677;-51,0696;52896;58035;60586;63778;65465;65022;64527;65292;67675
São Martinho;4319109;-27,7112;-53,9699;7707;8234;9227;9361;9991;9752;9928;10290;10649
São Martinho da Serra;4319125;-29,5397;-53,859;5635;5743;6498;6472;6269;6658;6641;7121;6535
São Miguel das Missões;4319158;-28,556;-54,5559;103;112;119;133;3087;15278;23276;4480;11
São Nicolau;4319208;-28,18339999999;-55,2654;5001;5273;5544;6014;7036;6365;7004;6870;7340
São Paulo das Missões;4319307;-28,0195;-54,94039999999;6124;6555;3461;3496;3889;3771;3891;4033;4127
São Pedro das Missões;4319364;-27,77321999999;-53,25047;1609;1676;1753;1851;2019;2046;2143;2219;2301
São Pedro do Butiá;4319372;-28,1243;-54,8926;9501;5001;3878;3926;4341;4223;4536;4731;5243
São Pedro do Sul;4319406;-29,6202;-54,18549999999;19411;21480;21784;22098;24927;23580;23659;24788;26370
São Sebastião do Caí;4319505;-29,5885;-51,37489999999;60247;64465;69073;74691;82755;81078;78590;78310;80084
São Sepé;4319604;-30,1643;-53,56029999999;44199;47013;46674;48291;51960;50333;50420;51485;54761
São Valentim;4319703;-27,55829999999;-52,52369999999;4103;4200;4469;4618;4825;4704;4706;4896;5108
São Valentim do Sul;4319711;-29,0451;-51,7684;1791;1801;1994;2060;2101;2279;2261;2354;2356
São Valério do Sul;4319737;-27,7906;-53,93679999999;1498;1563;1690;1766;1928;1814;1886;2079;2237
São Vendelino;4319752;-29,3729;-51,3675;4831;5579;6314;6493;5914;5821;5849;5899;6177
São Vicente do Sul;4319802;-29,68819999999;-54,6826;14366;17008;16267;15339;17008;15250;14675;15869;17213
Sapiranga;4319901;-29,63489999999;-51,0065;175579;185095;192472;184555;181957;166285;165982;169787;173422
Sapucaia do Sul;4320008;-29,8276;-51,145;530419;541017;608152;581979;587333;549830;526667;525348;554775
Sarandi;4320107;-27,942;-52,92309999999;49310;51375;54761;56875;61306;60548;62401;64116;64119
Seberi;4320206;-27,4829;-53,4026;12087;13050;15730;15131;16952;20834;24605;28760;30357
Sede Nova;4320230;-27,6367;-53,9493;3424;3655;3938;3980;4258;4378;4245;4770;4936
Segredo;4320263;-29,3523;-52,9767;3964;4245;4367;4458;4903;4754;4876;4994;5231
Selbach;4320305;-28,6294;-52,9498;408;428;434;417;0;-;0;0;0
Senador Salgado Filho;4320321;-28,025;-54,55069999999;200;195;209;214;232;216;195;153;166
Sentinela do Sul;4320354;-30,6107;-51,58619999999;9808;12179;11008;10261;10587;10462;11218;12070;8567
Serafina Corrêa;4320404;-28,71259999999;-51,93529999999;57853;63993;63006;67721;67429;66955;68257;67534;67652
Sério;4320453;-29,3904;-52,2685;346;341;333;348;373;344;252;367;342
Sertão;4320503;-27,9798;-52,2588;10872;11187;10507;10049;11066;11466;12024;11494;11484
Sertão Santana;4320552;-30,45619999999;-51,6017;18950;20738;20742;21221;23044;23255;21029;18355;17981
Sete de Setembro;4320578;-28,13619999999;-54,4637;2259;2139;2195;2234;2586;2422;2485;2526;2651
Severiano de Almeida;4320602;-27,43619999999;-52,12169999999;5087;5245;5563;5821;6092;6051;6068;6332;6503
Silveira Martins;4320651;-29,64669999999;-53,591;93;110;121;125;123;111;112;110;112
Sinimbu;4320677;-29,53569999999;-52,5305;9164;9618;10041;10318;10939;10329;9896;10613;10738
Sobradinho;4320701;-29,4194;-53,0326;19891;20962;22319;23089;25010;23129;23567;23753;24407
Soledade;4320800;-28,8306;-52,5131;40949;41945;40510;35641;38899;38667;39456;39881;41366
Tabaí;4320859;-29,643;-51,68229999999;235;237;240;235;254;250;249;263;261
Tapejara;4320909;-28,0652;-52,0097;90612;102427;109101;116615;126868;129662;140287;137383;88565
Tapera;4321006;-28,6277;-52,86119999999;47387;62534;64194;53264;55778;56530;59499;58749;60623
Tapes;4321105;-30,66829999999;-51,39909999999;28102;29752;29039;27932;30314;28782;27409;25507;27044
Taquara;4321204;-29,6505;-50,7753;86903;90286;93812;96767;105443;101833;100108;103986;105486
Taquari;4321303;-29,7943;-51,86529999999;76135;76446;134969;111804;116916;105029;116964;109817;109015
Taquaruçu do Sul;4321329;-27,4004;-53,4703;2491;2630;2942;3243;3501;3506;3493;3866;4015
Tavares;4321352;-31,2843;-51,088;8722;8836;7851;7537;8134;8072;7685;8089;8595
Tenente Portela;4321402;-27,37109999999;-53,75849999999;15235;15784;16564;17596;18767;19279;21018;22969;23652
Terra de Areia;4321436;-29,57819999999;-50,06439999999;12565;13084;13972;14345;16222;15316;15562;16639;16467
Teutônia;4321451;-29,4482;-51,8044;1180;1244;1345;1560;1526;1580;1710;1842;1886
Tio Hugo;4321469;-28,57404;-52,5949;100;114;104;38;20;17;21;22;18
Tiradentes do Sul;4321477;-27,4022;-54,0814;6734;6930;7365;7398;7844;7728;7935;8254;8436
Toropi;4321493;-29,4782;-54,2244;3009;3201;3271;3242;3567;3383;3449;3699;3889
Torres;4321501;-29,3334;-49,7333;85592;87178;93404;89966;105687;105999;108034;108514;108340
Tramandaí;4321600;-29,9841;-50,13219999999;77213;81499;85496;87510;97511;96455;97549;100826;100037
Travesseiro;4321626;-29,29769999999;-52,05319999999;47;43;48;53;62;68;52;64;65
Três Arroios;4321634;-27,50029999999;-52,14479999999;3846;3844;4157;4284;4540;4558;4477;4681;5301
Três Cachoeiras;4321667;-29,44869999999;-49,9275;14276;14174;14444;16182;19490;18886;18730;18500;18378
Três Coroas;4321709;-29,5137;-50,77389999999;64616;64769;64832;64807;67505;61907;61448;62638;62304
Três de Maio;4321808;-27,78;-54,2357;39841;44321;51637;53948;63660;64508;67918;73357;74259
Três Forquilhas;4321832;-29,53839999999;-50,07079999999;3308;3364;3606;3728;4096;4106;4141;4427;4324
Três Palmeiras;4321857;-27,6139;-52,84369999999;5129;5236;5440;5719;6144;6163;6509;7260;7316
Três Passos;4321907;-27,4555;-53,9296;31539;49093;50065;51496;56841;58297;61772;63634;63759
Trindade do Sul;4321956;-27,5239;-52,8956;6017;5714;6395;6548;7125;7267;7752;8522;8730
Triunfo;4322004;-29,92909999999;-51,7075;94165;102192;105821;148424;154773;129685;125070;116552;118494
Tucunduva;4322103;-27,65729999999;-54,44389999999;7803;8238;8476;8651;9606;9359;9438;10058;9975
Tunas;4322152;-29,10389999999;-52,9538;740;756;763;821;864;886;920;1069;1070
Tupanci do Sul;4322186;-27,92409999999;-51,5383;1610;1646;1785;1865;2003;1999;1997;2038;2136
Tupanciretã;4322202;-29,08579999999;-53,84449999999;38338;41888;43270;42695;46955;43576;45915;44915;46015
Tupandi;4322251;-29,4772;-51,4174;21335;27869;30599;37400;37770;36297;35162;37793;36794
Tuparendi;4322301;-27,75979999999;-54,4814;12911;13244;14333;14402;15747;15360;15726;15902;16901
Turuçu;4322327;-31,4173;-52,1706;4183;4474;4551;4573;5797;5703;5416;5650;5543
Ubiretama;4322343;-28,0404;-54,68589999999;1462;1475;1626;1628;1767;1766;1812;1980;2016
União da Serra;4322350;-28,7833;-52,0238;1682;1662;1757;1983;2234;2254;2433;2509;2534
Unistalda;4322376;-29,03999999999;-55,15169999999;1949;2073;2198;2271;2506;2401;2429;2536;2534
Uruguaiana;4322400;-29,76139999999;-57,08529999999;283261;291397;293676;305276;304168;284984;286643;293127;311100
Vacaria;4322509;-28,50789999999;-50,9418;129951;133225;141979;151465;164432;161187;158414;174266;178791
Vale do Sol;4322533;-29,59669999999;-52,6839;11799;11991;12300;12621;13798;13128;13031;13467;13541
Vale Real;4322541;-29,3919;-51,25589999999;9607;10203;11146;12902;14561;14554;16108;13325;14292
Vanini;4322558;-28,4758;-51,8447;2184;2249;2354;2575;2730;2888;3094;3784;4045
Venâncio Aires;4322608;-29,6143;-52,19319999999;148361;162098;166315;176507;189769;177056;173922;188465;190357
Vera Cruz;4322707;-29,71839999999;-52,5152;36282;37536;38404;37768;41205;38628;37426;39344;40325
Veranópolis;4322806;-28,9312;-51,5516;67390;79044;80297;89566;91738;94455;96306;97614;101606
Vespasiano Correa;4322855;-29,0655;-51,8625;3919;4079;4218;4181;4705;4552;4529;4747;5141
Viadutos;4322905;-27,5716;-52,02109999999;5828;5977;6140;6330;6766;6619;6645;6747;6865
Viamão;4323002;-30,0819;-51,01939999999;283797;245894;311345;315451;353589;333030;266765;249994;256668
Vicente Dutra;4323101;-27,16079999999;-53,4022;3824;3875;4048;4116;4452;4568;4693;4889;5031
Victor Graeff;4323200;-28,56319999999;-52,74949999999;2224;2254;2281;2586;2847;2724;2843;2819;2763
Vila Flores;4323309;-28,8598;-51,5504;14276;15436;16114;17717;19585;18298;17207;16405;17211
Vila Maria;4323408;-28,5359;-52,14869999999;7504;8462;9353;9417;9075;8938;9177;8332;8569
Vila Nova do Sul;4323457;-30,3461;-53,87599999999;273;330;343;333;348;325;327;365;364
Vista Alegre;4323507;-27,3686;-53,4919;2359;2495;2628;2850;2935;2736;2897;3211;3750
Vista Alegre do Prata;4323606;-28,80519999999;-51,7946;4459;4225;2948;3084;3436;3441;3457;3661;3869
Vista Gaúcha;4323705;-27,29019999999;-53,6974;4184;4292;4353;4507;4705;4933;5042;5599;5601
Vitória das Missões;4323754;-28,3516;-54,50399999999;679;656;681;696;772;768;733;16256;19789
Xangri-lá;4323804;-29,8065;-50,0519;43668;47500;50455;50885;60113;60199;61787;64669;64005
