variavel: Total;;;;;;;;;;;;
caminho: /Energia Elétrica/Consumo/Total;;;;;;;;;;;;
fonte: Distribuidoras de Energia Elétrica do Rio Grande do Sul.;;;;;;;;;;;;
agrupador: Município;;;;;;;;;;;;
descricao: ;;;;;;;;;;;;
Município;ibge;latitude;longitude;2010 (MWh);2011 (MWh);2012 (MWh);2013 (MWh);2014 (MWh);2015 (MWh);2016 (MWh);2017 (MWh);2018 (MWh)
Cachoeirinha;4303103;-29,94719999999;-51,10159999999;268575;331072;341139;357654;369553;340342;327172;328650;336251
Cacique Doble;4303202;-27,76699999999;-51,6597;4043;4267;4499;4515;4850;4931;4912;5064;5118
Caiçara;4303400;-27,2791;-53,42569999999;4541;4589;4914;5120;5431;5368;5529;5941;6105
Camaquã;4303509;-30,8489;-51,80429999999;156249;169812;160430;157614;164068;157637;131062;120873;107182
Camargo;4303558;-28,588;-52,20029999999;3073;3665;5605;7756;9894;9916;9296;10182;11140
Cambará do Sul;4303608;-29,0474;-50,1465;13070;12718;11849;13408;14035;14363;14352;14692;15200
Campestre da Serra;4303673;-28,7926;-51,09409999999;4806;5195;5497;5883;6554;6492;6448;7141;6878
Campina das Missões;4303707;-27,9888;-54,8417;3897;7553;7948;7578;8835;9153;9555;9319;7071
Campinas do Sul;4303806;-27,7174;-52,6248;6413;6427;6934;7544;8142;7832;7741;8183;8208
Campo Bom;4303905;-29,6747;-51,0606;201740;202701;213074;220871;227612;209220;210470;211464;211667
Campo Novo;4304002;-27,6792;-53,80519999999;8349;8781;9756;10630;11364;11254;12349;12838;12975
Candelária;4304200;-29,66839999999;-52,78949999999;46179;47834;50365;51144;56856;53702;54462;55647;56139
Cândido Godói;4304309;-27,95149999999;-54,7517;10895;11903;12424;12864;14314;13993;14622;9704;7244
Candiota;4304358;-31,5515;-53,6773;72097;79210;76087;77432;80212;75964;18112;19785;17081
Canela;4304408;-29,356;-50,8119;56639;83250;82573;89444;93677;94189;95447;98500;104489
