variavel:  Total;;;;;;;;;;;
caminho: /Educação/Educação Superior/Concluintes/ Total;;;;;;;;;;;
fonte: Instituto Nacional de Estudos e Pesquisas Educacionais.;;;;;;;;;;;
agrupador: Município;;;;;;;;;;;
descricao: ;;;;;;;;;;;
Município;ibge;latitude;longitude;2011 (-);2012 (-);2013 (-);2014 (-);2015 (-);2016 (-);2017 (-);2018 (-)
São Borja;4318002;-28,6578;-56,00359999999;303;163;116;163;100;148;179;197
São Francisco de Paula;4318200;-29,4404;-50,58279999999;1;27;31;10;4;22;25;15
São Gabriel;4318309;-30,3337;-54,3217;214;164;149;173;64;161;185;204
São Jerônimo;4318408;-29,97159999999;-51,72509999999;166;174;140;152;186;94;137;199
São Leopoldo;4318705;-29,7545;-51,14979999999;2216;2103;1974;2076;2072;2307;2180;2174
São Lourenço do Sul;4318804;-31,3564;-51,97149999999;0;15;21;14;10;10;13;23
São Luiz Gonzaga;4318903;-28,41199999999;-54,9559;34;50;78;57;84;95;61;180
São Marcos;4319000;-28,9677;-51,0696;-;-;-;0;-;-;0;9
São Paulo das Missões;4319307;-28,0195;-54,94039999999;0;0;-;47;36;16;113;4
São Sebastião do Caí;4319505;-29,5885;-51,37489999999;48;89;120;114;107;126;109;109
São Vicente do Sul;4319802;-29,68819999999;-54,6826;19;26;56;81;60;27;86;37
Sapucaia do Sul;4320008;-29,8276;-51,145;19;17;21;82;73;69;66;65
Sarandi;4320107;-27,942;-52,92309999999;41;48;80;102;107;91;101;113
Sertão;4320503;-27,9798;-52,2588;20;48;48;58;96;176;96;136
Silveira Martins;4320651;-29,64669999999;-53,591;0;27;59;41;29;44;1;-
Sobradinho;4320701;-29,4194;-53,0326;50;56;55;53;59;73;55;53
Soledade;4320800;-28,8306;-52,5131;63;132;84;119;120;104;99;114
Tapejara;4320909;-28,0652;-52,0097;0;31;4;1;31;12;26;16
Tapes;4321105;-30,66829999999;-51,39909999999;4;10;6;9;6;2;8;8
Taquara;4321204;-29,6505;-50,7753;183;185;181;233;244;284;251;273
Torres;4321501;-29,3334;-49,7333;428;296;292;227;219;258;305;378
Tramandaí;4321600;-29,9841;-50,13219999999;-;-;-;0;-;-;34;30
Três de Maio;4321808;-27,78;-54,2357;108;167;127;206;165;186;190;206
Três Passos;4321907;-27,4555;-53,9296;48;55;49;87;69;62;79;59
Uruguaiana;4322400;-29,76139999999;-57,08529999999;192;236;213;152;197;199;208;200
Vacaria;4322509;-28,50789999999;-50,9418;197;178;204;235;154;140;156;153
Venâncio Aires;4322608;-29,6143;-52,19319999999;58;77;36;37;68;66;74;57
Veranópolis;4322806;-28,9312;-51,5516;0;0;-;0;10;1;-;0
Viamão;4323002;-30,0819;-51,01939999999;0;1;-;-;-;-;0;0
