variavel: Total;;;;;;;;;;;;
caminho: /Comunicações/Acessos à Internet/Meio de Acesso/Total;;;;;;;;;;;;
fonte: Agência Nacional de Telecomunicações.;;;;;;;;;;;;
agrupador: Município;;;;;;;;;;;;
descricao: ;;;;;;;;;;;;
Município;ibge;latitude;longitude;2010 (-);2011 (-);2012 (-);2013 (-);2014 (-);2015 (-);2016 (-);2017 (-);2018 (-)
Cacequi;4302907;-29,8883;-54,822;2264;5753;5813;11196;11196;12845;13994;15324;13013
Cachoeira do Sul;4303004;-30,033;-52,8928;14906;49399;85835;92244;92244;96401;101738;135890;156116
Cachoeirinha;4303103;-29,94719999999;-51,10159999999;52459;180452;252359;278326;278326;294091;307983;334192;350312
Cacique Doble;4303202;-27,76699999999;-51,6597;55;590;829;1641;1641;1429;1499;2243;7877
Caibaté;4303301;-28,2905;-54,6454;1033;3888;6006;6256;6256;6247;6118;6015;6541
Caiçara;4303400;-27,2791;-53,42569999999;194;613;846;954;954;1064;1207;1336;1639
Camaquã;4303509;-30,8489;-51,80429999999;13891;38361;51400;53947;53947;54308;58965;65652;98528
Camargo;4303558;-28,588;-52,20029999999;535;1254;5795;6114;6114;6871;7298;9435;1442
Cambará do Sul;4303608;-29,0474;-50,1465;713;2391;3389;3523;3523;3414;3421;3412;3723
Campestre da Serra;4303673;-28,7926;-51,09409999999;124;770;1531;1536;1536;1339;1204;1144;1737
Campina das Missões;4303707;-27,9888;-54,8417;524;1565;1750;1653;1653;2225;4830;4465;9941
Campinas do Sul;4303806;-27,7174;-52,6248;495;1023;2607;2259;2259;1957;2086;3306;4744
Campo Bom;4303905;-29,6747;-51,0606;41359;115102;88658;95964;95964;105936;96979;139051;161390
Campo Novo;4304002;-27,6792;-53,80519999999;613;1801;2041;2115;2115;1995;1845;1736;5404
Campos Borges;4304101;-28,8871;-53,00079999999;133;406;2058;2649;2649;4024;4692;6040;9082
Candelária;4304200;-29,66839999999;-52,78949999999;2650;8254;8969;9346;9346;12726;17058;16670;39634
Cândido Godói;4304309;-27,95149999999;-54,7517;953;3006;5042;4831;4831;5062;1612;1671;5254
Candiota;4304358;-31,5515;-53,6773;2000;6192;7202;7767;7767;8687;9052;9528;14395
Canela;4304408;-29,356;-50,8119;16098;36242;41848;48383;48383;53283;56355;58068;113207
Canguçu;4304507;-31,396;-52,67819999999;3022;9874;13801;33770;33770;39082;38739;43334;59339
Canoas;4304606;-29,9128;-51,18569999999;144380;453456;595411;696123;696123;760116;794396;873050;977291
Canudos do Vale;4304614;-29,3187;-52,23449999999;8;27;109;110;110;122;172;198;2454
Capão Bonito do Sul;4304622;-29,76419999999;-50,02819999999;4;27;73;73;73;84;89;125;798
Capão da Canoa;4304630;-29,6397;-49,95989999999;15165;82926;125541;149978;149978;169380;179865;199569;257516
Capão do Cipó;4304655;-28,904;-54,7;23;60;111;117;117;180;274;267;656
Capão do Leão;4304663;-31,75649999999;-52,4889;2131;7450;12936;12987;12987;12796;14636;26312;26092
Capela de Santana;4304689;-29,6961;-51,328;226;645;1034;938;938;837;706;606;5770
Capitão;4304697;-29,26739999999;-51,9853;72;322;625;876;876;1009;1197;1345;8239
Capivari do Sul;4304671;-30,1382;-50,51509999999;1200;4365;6094;6536;6536;6534;6886;7268;9325
Caraá;4304713;-29,78689999999;-50,4316;8;32;60;64;64;68;146;398;3951
Carazinho;4304705;-28,2958;-52,7933;16893;55073;45900;45856;45856;43551;40753;51222;63569
Carlos Barbosa;4304804;-29,2969;-51,50289999999;7549;23459;22691;24343;24343;24293;22552;38801;94480
Carlos Gomes;4304853;-27,71669999999;-51,9121;4;12;51;51;51;73;97;100;347
Casca;4304903;-28,5605;-51,98149999999;2186;5002;8375;11640;11640;13147;14437;17055;23737
Caseiros;4304952;-28,25819999999;-51,6861;192;534;638;536;536;655;884;1748;3898
Catuípe;4305009;-28,2554;-54,01319999999;792;3059;3482;3168;3168;3151;2921;4084;7432
Caxias do Sul;4305108;-29,1629;-51,1792;183608;706676;1015856;1127336;1127336;1167280;1215405;1405340;1573195
Centenário;4305116;-27,7616;-51,99839999999;80;205;1068;136;136;414;764;934;1493
Cerrito;4305124;-31,84189999999;-52,8004;89;516;901;894;894;876;909;1090;3508
Cerro Branco;4305132;-29,657;-52,9406;18;135;430;455;455;573;560;676;4385
Cerro Grande;4305157;-27,6106;-53,1672;99;176;283;298;298;268;327;869;3450
Cerro Grande do Sul;4305173;-30,59049999999;-51,74179999999;242;407;735;837;837;837;920;1242;3514
Cerro Largo;4305207;-28,1462;-54,7428;2650;9977;14931;16163;16163;14462;14505;13971;31402
Chapada;4305306;-28,0559;-53,06649999999;700;2535;8175;12075;12075;14440;16311;18348;19835
Charqueadas;4305355;-29,9625;-51,6289;7240;22184;27339;26132;26132;24880;31557;32203;35160
Charrua;4305371;-27,9493;-52,015;2;24;168;166;166;184;265;310;1441
Chiapetta;4305405;-27,92299999999;-53,94189999999;333;1126;1115;1073;1073;1023;917;864;12953
Chuí;4305439;-33,68659999999;-53,4594;844;2477;2649;2665;2665;2678;4137;5057;5557
Chuvisca;4305447;-30,75039999999;-51,9737;192;471;337;321;321;366;393;668;753
Cidreira;4305454;-30,16039999999;-50,2338;2392;7779;11370;10410;10410;11651;11932;14466;40955
Ciríaco;4305504;-28,34189999999;-51,87409999999;266;410;671;680;680;689;680;784;1253
Colinas;4305587;-29,38149999999;-51,8526;299;794;1092;1027;1027;1006;909;838;1289
Colorado;4305603;-28,5258;-52,9928;367;1229;2024;2215;2215;2089;1713;1538;5053
Condor;4305702;-28,2075;-53,49049999999;294;1155;2393;3061;3061;3369;4297;7337;7618
Constantina;4305801;-27,73199999999;-52,9938;1222;3595;3934;4047;4047;3929;3904;3815;5292
Coqueiro Baixo;4305835;-29,1722;-52,0989;11;36;274;1089;1089;1632;2004;2046;2250
Coqueiros do Sul;4305850;-28,11939999999;-52,78419999999;11;85;137;158;158;174;228;238;397
Coronel Barros;4305871;-28,39219999999;-54,0686;190;720;926;979;979;1144;1258;1250;7254
Coronel Bicaco;4305900;-27,7197;-53,70219999999;460;1472;3354;5151;5151;5890;6639;4421;1616
Coronel Pilar;4305934;-29,2684;-51,68789999999;28;349;431;431;431;459;761;1160;1508
Cotiporã;4305959;-28,9891;-51,69709999999;449;1216;1049;988;988;1057;1017;1219;4745
Coxilha;4305975;-28,128;-52,3023;114;401;691;661;661;577;547;454;626
Crissiumal;4306007;-27,4999;-54,0994;915;2475;2982;2946;2946;2896;2745;2658;5529
Cristal;4306056;-31,0046;-52,04359999999;596;1942;2503;2916;2916;3216;3580;4195;3394
Cristal do Sul;4306072;-27,452;-53,24219999999;34;68;236;294;294;341;310;803;1306
Cruz Alta;4306106;-28,645;-53,60479999999;18407;71718;101737;116734;116734;133165;127732;138896;174953
Cruzaltense;4306130;-27,6644;-52,6492;7;95;583;610;610;633;638;609;949
Cruzeiro do Sul;4306205;-29,5148;-51,9928;629;2008;3553;5398;5398;5429;6655;9745;19588
David Canabarro;4306304;-28,38489999999;-51,84819999999;758;1551;3761;5786;5786;7150;8384;10192;5821
Derrubadas;4306320;-27,26419999999;-53,8645;20;220;456;471;471;521;540;579;2491
Dezesseis de Novembro;4306353;-28,219;-55,0617;117;292;434;452;452;601;616;563;541
Dilermando de Aguiar;4306379;-29,7054;-54,2122;16;38;110;117;117;160;161;251;2230
Dois Irmãos;4306403;-29,5836;-51,08979999999;9753;28638;26307;27267;27267;36557;30158;38667;46167
Dois Irmãos das Missões;4306429;-27,66209999999;-53,5304;64;247;574;819;819;914;950;1160;1027
Dois Lajeados;4306452;-28,983;-51,83959999999;346;614;788;840;840;800;811;894;2959
Dom Feliciano;4306502;-30,70039999999;-52,1026;638;1903;2313;2510;2510;3610;3898;5771;5305
Dom Pedrito;4306601;-30,9756;-54,6694;6508;19480;23207;25824;25824;24367;32905;53272;81256
Dom Pedro de Alcântara;4306551;-29,3639;-49,853;158;454;528;570;570;558;497;408;712
Dona Francisca;4306700;-29,61949999999;-53,36169999999;407;889;1026;1245;1245;1363;1478;1834;9961
Doutor Maurício Cardoso;4306734;-27,5103;-54,35779999999;342;1312;1746;1999;1999;2367;1799;1829;4883
Doutor Ricardo;4306759;-29,084;-51,9971;15;147;324;261;261;99;115;120;310
Eldorado do Sul;4306767;-30,0847;-51,61869999999;4610;16827;26851;26243;26243;25017;23809;27353;28454
Encantado;4306809;-29,23509999999;-51,8703;7868;23595;29256;29258;29258;35062;36170;43466;71297
Encruzilhada do Sul;4306908;-30,54299999999;-52,5204;4053;12504;11278;10920;10920;11529;12318;11190;8241
Engenho Velho;4306924;-27,706;-52,91449999999;20;227;532;579;579;652;670;674;663
Entre Rios do Sul;4306957;-27,5298;-52,73469999999;188;712;1165;1055;1055;1050;966;1541;3165
Entre-ijuís;4306932;-28,3686;-54,26859999999;582;2418;2952;3385;3385;3713;3697;3469;5769
Erebango;4306973;-27,85439999999;-52,3005;243;738;2613;1724;1724;1110;1762;3253;4709
Erechim;4307005;-27,63639999999;-52,2697;32699;113956;191051;196737;196737;202510;210683;200083;273653
Ernestina;4307054;-28,49769999999;-52,58359999999;62;423;1111;1271;1271;1107;1010;904;5213
Erval Grande;4307203;-27,3926;-52,57399999999;508;2266;3828;3352;3352;3354;1413;2116;1129
Erval Seco;4307302;-27,5443;-53,5005;257;760;967;979;979;996;1100;1085;6412
Esmeralda;4307401;-28,0518;-51,1933;255;951;1147;1097;1097;966;1014;991;3071
Esperança do Sul;4307450;-27,36029999999;-53,9891;16;86;227;236;236;252;254;263;1866
Espumoso;4307500;-28,7286;-52,8461;1634;4400;5493;16907;16907;21842;17953;21750;28657
