variavel: Total;;;;;;;;;;;;
caminho: /Educação/Ensino Médio/Taxa de Reprovação/Total;;;;;;;;;;;;
fonte: Instituto Nacional de Estudos e Pesquisas Educacionais.;;;;;;;;;;;;
agrupador: Município;;;;;;;;;;;;
descricao: ;;;;;;;;;;;;
Município;ibge;latitude;longitude;2010 (-);2011 (-);2012 (-);2013 (-);2014 (-);2015 (-);2016 (-);2017 (-);2018 (-)
Bom Progresso;4302378;-27,53989999999;-53,8716;8,3;6,4;3,3;8,5;9,4;9,8;14,3;14,6;7,3
Bom Retiro do Sul;4302402;-29,60859999999;-51,94639999999;20,6;21,3;19,5;19;16,1;16;25,7;25;19,5
Boqueirão do Leão;4302451;-29,3046;-52,4284;16,4;11,5;12,4;19,8;16,3;19,2;21,8;14,5;13,9
Bossoroca;4302501;-28,72909999999;-54,9035;22,9;19;13,1;17,8;20,7;12,3;33,6;11,5;26
Bozano;4302584;-28,36746;-53,77223999999;16,7;7,2;3,2;1,7;7,4;11,8;23,1;17,9;8,1
Braga;4302600;-27,6173;-53,74049999999;17,8;19,4;19,4;21,3;9,8;16;23,1;19,3;19,6
Brochier;4302659;-29,5501;-51,59449999999;12,3;6,7;11,3;18,8;6,7;7,8;17,3;22,8;16,3
Butiá;4302709;-30,11789999999;-51,96009999999;19,5;13,4;12,9;14,6;10,1;14,4;17,1;20,6;20,1
Caçapava do Sul;4302808;-30,51439999999;-53,4827;37,3;31,4;25,2;15,3;17;20,8;21,1;21,1;22,9
Cacequi;4302907;-29,8883;-54,822;16,6;17,9;10,5;8,5;3,8;5,7;15,5;24,9;25,4
Cachoeira do Sul;4303004;-30,033;-52,8928;21;21,5;15,8;14,8;15,5;18,9;18,5;17,9;15,2
Cachoeirinha;4303103;-29,94719999999;-51,10159999999;19,9;23,4;15,9;14,7;13,2;13;18,7;19,2;20,6
Cacique Doble;4303202;-27,76699999999;-51,6597;14,6;13,1;13,3;18,4;7,3;8,4;13,6;23;21,4
Caibaté;4303301;-28,2905;-54,6454;17,2;18,7;7,2;9,6;10,2;21,4;9,4;17,9;18,8
Caiçara;4303400;-27,2791;-53,42569999999;6,2;1,3;10,2;8,9;9,2;13;14,8;13,2;15,5
Camaquã;4303509;-30,8489;-51,80429999999;31,7;36;27,3;23,4;19,1;15,3;12,5;15,8;19,8
Camargo;4303558;-28,588;-52,20029999999;1,1;8,4;2,4;4,7;6,9;1,1;4,9;5,7;6
Cambará do Sul;4303608;-29,0474;-50,1465;14,3;8,1;0,9;1,8;4,2;8,9;12,8;7,1;0,5
Campestre da Serra;4303673;-28,7926;-51,09409999999;14,7;22,5;5,1;5;6,7;6,8;14,8;15,3;16,7
Campina das Missões;4303707;-27,9888;-54,8417;6,7;6,4;5,1;2;2,9;8,1;6,6;18,5;13,7
Campinas do Sul;4303806;-27,7174;-52,6248;4,6;4;9,9;4,9;7,9;4,1;12,9;24,2;14,9
Campo Bom;4303905;-29,6747;-51,0606;19;22,1;17,8;15,6;16,9;20,6;20,2;22,8;20,7
Campo Novo;4304002;-27,6792;-53,80519999999;11,3;11,8;11;6,4;9,5;8,3;18,5;9,9;16,8
Campos Borges;4304101;-28,8871;-53,00079999999;16,6;2,8;16,6;15,4;7;16,9;11,6;3,4;20,7
Candelária;4304200;-29,66839999999;-52,78949999999;15,9;12,6;14,2;12,5;13,3;18,6;16,7;21;17,8
Cândido Godói;4304309;-27,95149999999;-54,7517;17,1;16,4;7,5;2,7;5,4;2,8;10,7;7,7;7,6
Candiota;4304358;-31,5515;-53,6773;20,5;22,8;21,8;7,5;8,6;12,6;18,5;18,7;18,8
Canela;4304408;-29,356;-50,8119;10,3;14;12,3;9,7;8,1;10,6;13,3;14,2;7,8
Canguçu;4304507;-31,396;-52,67819999999;22;22,3;14,5;20,7;16,1;19;17,3;14;19,4
Canoas;4304606;-29,9128;-51,18569999999;24,9;27,1;19,3;19;18,5;17,9;18,9;18,9;17,5
Canudos do Vale;4304614;-29,3187;-52,23449999999;1,1;4,5;2,5;2,7;3;8,5;7,1;11,1;17,5
Capão Bonito do Sul;4304622;-29,76419999999;-50,02819999999;2,5;1,4;13,1;1,3;9,9;1,8;1,9;0;1,7
Capão da Canoa;4304630;-29,6397;-49,95989999999;11,7;17,4;17,1;20,3;18,4;14,9;14,7;22,5;18
Capão do Cipó;4304655;-28,904;-54,7;17,6;23,5;28,1;1,7;8;10,2;10,1;27,7;19,3
Capão do Leão;4304663;-31,75649999999;-52,4889;41,8;25,8;10;14,8;7;11;19,8;16,1;13,7
Capela de Santana;4304689;-29,6961;-51,328;14;12,8;15,7;34,7;3,6;11,7;15,9;7;13,9
Capitão;4304697;-29,26739999999;-51,9853;11,4;8,7;2,5;-;0;9,2;1,2;6,5;1,3
Capivari do Sul;4304671;-30,1382;-50,51509999999;15,1;21,7;9,7;15,6;17,6;24,4;10,4;11,8;18,9
Caraá;4304713;-29,78689999999;-50,4316;8,7;13,1;10,4;8,5;16,6;8,4;26,7;26;23,2
Carazinho;4304705;-28,2958;-52,7933;19;16,6;12,2;12,3;19,5;15,7;14,6;11;18,1
Carlos Barbosa;4304804;-29,2969;-51,50289999999;7,8;7,7;9,5;9;9,3;6,7;10,9;7,6;9,9
Carlos Gomes;4304853;-27,71669999999;-51,9121;5,8;1,3;-;3,8;0;0;2,3;0;4,1
Casca;4304903;-28,5605;-51,98149999999;16,7;13,6;1,6;2,6;2,8;9,7;12,6;9;12,6
Caseiros;4304952;-28,25819999999;-51,6861;15,8;25;15,1;23,3;14,8;20,7;17,3;5,3;14
Catuípe;4305009;-28,2554;-54,01319999999;11,4;12,8;4,9;9;4,2;9,3;8,8;16,6;11,7
Caxias do Sul;4305108;-29,1629;-51,1792;22,9;26,8;19,7;20;15,3;17,6;18,1;18,1;19,1
Centenário;4305116;-27,7616;-51,99839999999;3,8;7,8;6,2;5,2;8,4;7,5;10,9;12;14,3
Cerrito;4305124;-31,84189999999;-52,8004;30,5;33,7;34;16,7;24;16,7;16,7;14,9;40,6
Cerro Branco;4305132;-29,657;-52,9406;9,9;21,3;18,8;17,5;9,9;14,8;6,5;22,5;21,6
Cerro Grande;4305157;-27,6106;-53,1672;14,9;18,3;7,8;18,2;15,7;25;19,2;24,7;16,9
Cerro Grande do Sul;4305173;-30,59049999999;-51,74179999999;27,4;17,9;3,2;7,4;8;9,1;17,5;13,8;22,5
Cerro Largo;4305207;-28,1462;-54,7428;9;11,3;15,5;9,1;17,8;19,3;19,6;26,1;22,9
Chapada;4305306;-28,0559;-53,06649999999;9,9;1,4;3,3;5,3;10,4;18,2;14,5;9,7;19,8
Charqueadas;4305355;-29,9625;-51,6289;18,6;19,4;22,4;23,8;16,8;13,9;12,9;18,4;19
Charrua;4305371;-27,9493;-52,015;17,1;3,4;23,3;18,1;15,9;17,4;16;16,9;26,8
Chiapetta;4305405;-27,92299999999;-53,94189999999;23,1;7,3;13,2;2,7;10,8;15,2;9,5;21,1;8
Chuí;4305439;-33,68659999999;-53,4594;32,8;19,1;9,9;33;14,1;35,1;34;30,3;18,8
