variavel: Total;;;;;;;;
caminho: /Educação/Ensino Fundamental/Número de Concluintes/Total;;;;;;;;
fonte: Secretaria de Educação do Rio Grande do Sul. ;;;;;;;;
agrupador: Município;;;;;;;;
descricao: ;;;;;;;;
Município;ibge;latitude;longitude;2010 (-);2011 (-);2012 (-);2013 (-);2014 (-)
Santa Maria do Herval;4316956;-29,4902;-50,9919;70;71;58;58;61
Santa Rosa;4317202;-27,8702;-54,47959999999;905;929;881;893;935
Santa Tereza;4317251;-29,1655;-51,7351;21;21;14;14;25
Santa Vitória do Palmar;4317301;-33,52499999999;-53,37169999999;332;326;365;376;323
Santana da Boa Vista;4317004;-30,8697;-53,10999999999;80;91;101;82;64
Santana do Livramento;4317103;-30,88769999999;-55,5315;1148;990;943;1043;1046
Santiago;4317400;-29,18969999999;-54,86659999999;587;588;560;594;576
Santo Ângelo;4317509;-28,3001;-54,2668;877;915;922;913;880
Santo Antônio da Patrulha;4317608;-29,82679999999;-50,51749999999;445;459;515;511;503
Santo Antônio das Missões;4317707;-28,51399999999;-55,22509999999;114;122;135;130;115
Santo Antônio do Palma;4317558;-28,4956;-52,02669999999;22;35;26;35;26
Santo Antônio do Planalto;4317756;-28,40309999999;-52,69919999999;21;18;26;39;24
Santo Augusto;4317806;-27,85259999999;-53,7776;173;171;187;127;119
Santo Cristo;4317905;-27,8263;-54,66199999999;159;194;160;200;179
Santo Expedito do Sul;4317954;-27,90739999999;-51,6433;45;29;15;31;21
São Borja;4318002;-28,6578;-56,00359999999;797;821;716;745;738
São Domingos do Sul;4318051;-28,53119999999;-51,886;70;34;26;27;23
São Francisco de Assis;4318101;-29,5547;-55,1253;254;261;191;240;205
São Francisco de Paula;4318200;-29,4404;-50,58279999999;297;277;236;310;260
São Gabriel;4318309;-30,3337;-54,3217;769;765;786;785;798
São Jerônimo;4318408;-29,97159999999;-51,72509999999;218;226;223;249;210
São João da Urtiga;4318424;-27,8195;-51,82569999999;72;57;48;48;46
São João do Polêsine;4318432;-29,61939999999;-53,44389999999;38;39;18;44;47
São Jorge;4318440;-28,4984;-51,7064;41;32;37;25;29
São José das Missões;4318457;-27,7789;-53,12259999999;41;32;37;35;27
São José do Herval;4318465;-29,052;-52,295;56;40;43;37;47
São José do Hortêncio;4318481;-29,52799999999;-51,245;52;30;37;46;27
São José do Inhacorá;4318499;-27,7251;-54,12749999999;31;31;29;40;35
São José do Norte;4318507;-32,01509999999;-52,03309999999;214;188;176;206;181
São José do Ouro;4318606;-27,7707;-51,5966;102;88;100;89;79
São José do Sul;4318614;-29,529;-51,48709999999;34;22;22;25;28
São José dos Ausentes;4318622;-28,74759999999;-50,0677;68;55;43;52;59
São Leopoldo;4318705;-29,7545;-51,14979999999;2386;2262;2266;2204;2217
São Lourenço do Sul;4318804;-31,3564;-51,97149999999;428;503;503;447;366
São Luiz Gonzaga;4318903;-28,41199999999;-54,9559;420;402;428;447;419
São Marcos;4319000;-28,9677;-51,0696;236;201;219;179;187
São Martinho;4319109;-27,7112;-53,9699;52;80;52;61;45
São Martinho da Serra;4319125;-29,5397;-53,859;40;27;27;22;21
São Miguel das Missões;4319158;-28,556;-54,5559;93;101;112;101;76
São Nicolau;4319208;-28,18339999999;-55,2654;90;66;77;85;66
São Paulo das Missões;4319307;-28,0195;-54,94039999999;82;79;74;90;92
São Pedro da Serra;4319356;-29,4193;-51,51339999999;34;39;36;42;45
São Pedro das Missões;4319364;-27,77321999999;-53,25047;29;36;36;26;31
São Pedro do Butiá;4319372;-28,1243;-54,8926;34;38;35;42;37
São Pedro do Sul;4319406;-29,6202;-54,18549999999;187;184;146;161;155
São Sebastião do Caí;4319505;-29,5885;-51,37489999999;236;233;261;237;240
São Sepé;4319604;-30,1643;-53,56029999999;218;234;239;208;231
São Valentim;4319703;-27,55829999999;-52,52369999999;54;46;46;71;39
São Valentim do Sul;4319711;-29,0451;-51,7684;24;18;19;21;25
São Valério do Sul;4319737;-27,7906;-53,93679999999;29;27;25;27;43
São Vendelino;4319752;-29,3729;-51,3675;35;36;30;36;28
São Vicente do Sul;4319802;-29,68819999999;-54,6826;110;81;98;81;71
Sapiranga;4319901;-29,63489999999;-51,0065;1121;1038;1092;1094;948
Sapucaia do Sul;4320008;-29,8276;-51,145;1423;1386;1432;1372;1242
Sarandi;4320107;-27,942;-52,92309999999;258;199;228;212;216
Seberi;4320206;-27,4829;-53,4026;129;149;147;137;131
Sede Nova;4320230;-27,6367;-53,9493;34;42;31;43;33
Segredo;4320263;-29,3523;-52,9767;89;97;99;84;87
Selbach;4320305;-28,6294;-52,9498;43;53;40;56;49
Senador Salgado Filho;4320321;-28,025;-54,55069999999;45;39;46;39;30
Sentinela do Sul;4320354;-30,6107;-51,58619999999;53;56;72;52;46
Serafina Corrêa;4320404;-28,71259999999;-51,93529999999;212;188;161;161;182
Sério;4320453;-29,3904;-52,2685;28;25;11;19;22
Sertão;4320503;-27,9798;-52,2588;81;97;71;77;54
Sertão Santana;4320552;-30,45619999999;-51,6017;64;55;65;106;53
Sete de Setembro;4320578;-28,13619999999;-54,4637;24;37;26;24;24
Severiano de Almeida;4320602;-27,43619999999;-52,12169999999;46;61;45;50;47
Silveira Martins;4320651;-29,64669999999;-53,591;22;34;34;32;25
Sinimbu;4320677;-29,53569999999;-52,5305;145;119;110;117;128
Sobradinho;4320701;-29,4194;-53,0326;166;162;155;132;118
Soledade;4320800;-28,8306;-52,5131;360;364;369;391;379
Tabaí;4320859;-29,643;-51,68229999999;51;39;36;46;49
Tapejara;4320909;-28,0652;-52,0097;230;213;218;208;216
Tapera;4321006;-28,6277;-52,86119999999;105;118;123;101;120
Tapes;4321105;-30,66829999999;-51,39909999999;226;191;201;238;182
Taquara;4321204;-29,6505;-50,7753;694;650;638;655;680
Taquari;4321303;-29,7943;-51,86529999999;282;321;285;282;305
Taquaruçu do Sul;4321329;-27,4004;-53,4703;33;46;37;39;35
Tavares;4321352;-31,2843;-51,088;66;60;61;58;79
Tenente Portela;4321402;-27,37109999999;-53,75849999999;186;180;183;188;168
Terra de Areia;4321436;-29,57819999999;-50,06439999999;80;88;100;103;114
Teutônia;4321451;-29,4482;-51,8044;355;332;327;371;296
Tio Hugo;4321469;-28,57404;-52,5949;42;32;29;33;44
Tiradentes do Sul;4321477;-27,4022;-54,0814;96;97;93;100;59
Toropi;4321493;-29,4782;-54,2244;33;43;47;34;34
Torres;4321501;-29,3334;-49,7333;485;431;452;472;469
Tramandaí;4321600;-29,9841;-50,13219999999;533;497;512;508;433
Travesseiro;4321626;-29,29769999999;-52,05319999999;16;23;23;27;22
Três Arroios;4321634;-27,50029999999;-52,14479999999;30;23;22;19;22
Três Cachoeiras;4321667;-29,44869999999;-49,9275;149;115;135;152;111
Três Coroas;4321709;-29,5137;-50,77389999999;270;271;270;295;133
Três de Maio;4321808;-27,78;-54,2357;307;274;255;291;296
Três Forquilhas;4321832;-29,53839999999;-50,07079999999;36;31;30;34;28
Três Palmeiras;4321857;-27,6139;-52,84369999999;72;64;70;67;63
Três Passos;4321907;-27,4555;-53,9296;266;270;264;288;249
Trindade do Sul;4321956;-27,5239;-52,8956;105;101;103;101;106
Triunfo;4322004;-29,92909999999;-51,7075;406;414;411;373;363
Tucunduva;4322103;-27,65729999999;-54,44389999999;53;72;63;72;61
Tunas;4322152;-29,10389999999;-52,9538;68;64;57;70;24
Tupanci do Sul;4322186;-27,92409999999;-51,5383;34;14;23;27;16
Tupanciretã;4322202;-29,08579999999;-53,84449999999;277;287;273;266;274
Tupandi;4322251;-29,4772;-51,4174;56;48;37;49;27
Tuparendi;4322301;-27,75979999999;-54,4814;99;107;107;88;88
Turuçu;4322327;-31,4173;-52,1706;22;44;33;26;32
Ubiretama;4322343;-28,0404;-54,68589999999;32;39;32;40;18
União da Serra;4322350;-28,7833;-52,0238;20;17;18;14;16
Unistalda;4322376;-29,03999999999;-55,15169999999;53;41;51;44;40
Uruguaiana;4322400;-29,76139999999;-57,08529999999;1790;1869;1695;1862;1699
Vacaria;4322509;-28,50789999999;-50,9418;778;710;682;692;543
Vale do Sol;4322533;-29,59669999999;-52,6839;104;94;97;115;112
Vale Real;4322541;-29,3919;-51,25589999999;39;43;100;58;56
Vale Verde;4322525;-29,7864;-52,18569999999;47;39;49;38;50
Vanini;4322558;-28,4758;-51,8447;20;26;26;27;19
Venâncio Aires;4322608;-29,6143;-52,19319999999;770;761;741;779;708
Vera Cruz;4322707;-29,71839999999;-52,5152;263;298;277;300;323
Veranópolis;4322806;-28,9312;-51,5516;244;217;233;266;223
Vespasiano Correa;4322855;-29,0655;-51,8625;18;20;17;20;19
Viadutos;4322905;-27,5716;-52,02109999999;69;63;62;66;65
Viamão;4323002;-30,0819;-51,01939999999;2798;2756;2692;2769;2767
Vicente Dutra;4323101;-27,16079999999;-53,4022;31;68;27;84;54
Victor Graeff;4323200;-28,56319999999;-52,74949999999;42;48;36;38;33
Vila Flores;4323309;-28,8598;-51,5504;42;25;42;34;23
Vila Lângaro;4323358;-28,1062;-52,14379999999;27;37;34;38;34
Vila Maria;4323408;-28,5359;-52,14869999999;52;46;35;37;42
Vila Nova do Sul;4323457;-30,3461;-53,87599999999;49;47;57;61;55
Vista Alegre;4323507;-27,3686;-53,4919;26;46;51;35;76
Vista Alegre do Prata;4323606;-28,80519999999;-51,7946;20;14;15;9;17
Vista Gaúcha;4323705;-27,29019999999;-53,6974;52;38;45;35;22
Vitória das Missões;4323754;-28,3516;-54,50399999999;50;43;44;46;40
Westfalia;4323770;-29,3744;-51,74629999999;31;39;35;34;29
Xangri-lá;4323804;-29,8065;-50,0519;150;127;161;125;133
