variavel: Total;;;;;;;;
caminho: /Educação/Ensino Fundamental/Número de Concluintes/Total;;;;;;;;
fonte: Secretaria de Educação do Rio Grande do Sul. ;;;;;;;;
agrupador: Município;;;;;;;;
descricao: ;;;;;;;;
Município;ibge;latitude;longitude;2010 (-);2011 (-);2012 (-);2013 (-);2014 (-)
Capão do Leão;4304663;-31,75649999999;-52,4889;290;295;265;270;196
Capela de Santana;4304689;-29,6961;-51,328;109;135;87;102;100
Capitão;4304697;-29,26739999999;-51,9853;34;46;39;36;28
Capivari do Sul;4304671;-30,1382;-50,51509999999;51;54;36;59;75
Caraá;4304713;-29,78689999999;-50,4316;77;64;82;81;64
Carazinho;4304705;-28,2958;-52,7933;779;786;773;775;710
Carlos Barbosa;4304804;-29,2969;-51,50289999999;247;320;273;269;228
Carlos Gomes;4304853;-27,71669999999;-51,9121;26;27;15;24;15
Casca;4304903;-28,5605;-51,98149999999;122;100;93;105;106
Caseiros;4304952;-28,25819999999;-51,6861;44;53;59;47;34
Catuípe;4305009;-28,2554;-54,01319999999;116;106;112;101;115
Caxias do Sul;4305108;-29,1629;-51,1792;5149;4907;4972;4952;4833
Centenário;4305116;-27,7616;-51,99839999999;45;32;42;33;34
Cerrito;4305124;-31,84189999999;-52,8004;69;47;67;60;81
Cerro Branco;4305132;-29,657;-52,9406;60;65;49;43;35
Cerro Grande;4305157;-27,6106;-53,1672;18;28;24;21;16
Cerro Grande do Sul;4305173;-30,59049999999;-51,74179999999;92;121;107;133;102
Cerro Largo;4305207;-28,1462;-54,7428;149;156;163;141;75
Chapada;4305306;-28,0559;-53,06649999999;101;100;108;100;75
Charqueadas;4305355;-29,9625;-51,6289;286;296;349;378;341
Charrua;4305371;-27,9493;-52,015;45;26;32;46;30
Chiapetta;4305405;-27,92299999999;-53,94189999999;59;42;51;57;56
Chuí;4305439;-33,68659999999;-53,4594;53;36;50;38;19
Chuvisca;4305447;-30,75039999999;-51,9737;70;79;73;78;50
Cidreira;4305454;-30,16039999999;-50,2338;134;145;107;121;120
Ciríaco;4305504;-28,34189999999;-51,87409999999;57;61;60;58;60
Colinas;4305587;-29,38149999999;-51,8526;17;22;21;22;28
Colorado;4305603;-28,5258;-52,9928;42;43;35;35;39
Condor;4305702;-28,2075;-53,49049999999;81;106;94;77;82
Constantina;4305801;-27,73199999999;-52,9938;142;125;142;131;92
Coqueiro Baixo;4305835;-29,1722;-52,0989;15;21;19;9;14
Coqueiros do Sul;4305850;-28,11939999999;-52,78419999999;41;35;30;38;33
Coronel Barros;4305871;-28,39219999999;-54,0686;34;33;31;42;6
Coronel Bicaco;4305900;-27,7197;-53,70219999999;96;94;102;88;55
Coronel Pilar;4305934;-29,2684;-51,68789999999;21;15;19;13;19
Cotiporã;4305959;-28,9891;-51,69709999999;29;50;47;51;28
Coxilha;4305975;-28,128;-52,3023;32;36;35;36;42
Crissiumal;4306007;-27,4999;-54,0994;214;187;176;192;164
Cristal;4306056;-31,0046;-52,04359999999;86;74;79;97;98
Cristal do Sul;4306072;-27,452;-53,24219999999;37;26;41;62;28
Cruz Alta;4306106;-28,645;-53,60479999999;709;685;717;744;659
Cruzaltense;4306130;-27,6644;-52,6492;37;33;28;25;19
Cruzeiro do Sul;4306205;-29,5148;-51,9928;117;115;93;119;93
David Canabarro;4306304;-28,38489999999;-51,84819999999;85;67;64;74;57
Derrubadas;4306320;-27,26419999999;-53,8645;50;51;57;44;28
Dezesseis de Novembro;4306353;-28,219;-55,0617;53;62;41;40;48
Dilermando de Aguiar;4306379;-29,7054;-54,2122;50;43;22;35;23
Dois Irmãos;4306403;-29,5836;-51,08979999999;298;299;340;304;322
Dois Irmãos das Missões;4306429;-27,66209999999;-53,5304;39;15;10;27;31
Dois Lajeados;4306452;-28,983;-51,83959999999;38;40;26;43;26
Dom Feliciano;4306502;-30,70039999999;-52,1026;149;164;181;171;181
Dom Pedrito;4306601;-30,9756;-54,6694;413;392;460;445;424
Dom Pedro de Alcântara;4306551;-29,3639;-49,853;31;22;24;30;37
Dona Francisca;4306700;-29,61949999999;-53,36169999999;21;23;23;33;25
Doutor Maurício Cardoso;4306734;-27,5103;-54,35779999999;74;71;86;65;79
Doutor Ricardo;4306759;-29,084;-51,9971;35;25;30;22;21
Eldorado do Sul;4306767;-30,0847;-51,61869999999;363;349;370;352;303
Encantado;4306809;-29,23509999999;-51,8703;198;190;218;196;199
Encruzilhada do Sul;4306908;-30,54299999999;-52,5204;241;242;228;260;263
Engenho Velho;4306924;-27,706;-52,91449999999;13;15;13;30;19
Entre Rios do Sul;4306957;-27,5298;-52,73469999999;60;33;63;50;42
Entre-ijuís;4306932;-28,3686;-54,26859999999;103;90;102;95;83
Erebango;4306973;-27,85439999999;-52,3005;34;38;40;34;28
Erechim;4307005;-27,63639999999;-52,2697;1097;1152;1090;1105;1133
Ernestina;4307054;-28,49769999999;-52,58359999999;60;32;45;48;42
Erval Grande;4307203;-27,3926;-52,57399999999;55;58;61;76;61
Erval Seco;4307302;-27,5443;-53,5005;104;101;86;95;82
Esmeralda;4307401;-28,0518;-51,1933;62;44;40;23;31
Esperança do Sul;4307450;-27,36029999999;-53,9891;44;37;43;45;28
Espumoso;4307500;-28,7286;-52,8461;191;168;159;158;160
Estação;4307559;-27,91349999999;-52,2635;72;87;74;95;66
Estância Velha;4307609;-29,6535;-51,1843;552;571;571;654;590
Esteio;4307708;-29,852;-51,1841;953;950;994;1001;986
Estrela;4307807;-29,5016;-51,9605;365;358;335;347;313
Estrela Velha;4307815;-29,17129999999;-53,16389999999;44;31;44;53;33
Eugênio de Castro;4307831;-28,5315;-54,15059999999;33;32;30;36;30
Fagundes Varela;4307864;-28,8794;-51,7014;15;36;24;15;30
Farroupilha;4307906;-29,2227;-51,3419;928;878;930;895;683
Faxinal do Soturno;4308003;-29,5788;-53,44839999999;64;67;58;60;68
Faxinalzinho;4308052;-27,4238;-52,67889999999;43;25;24;27;44
Fazenda Vilanova;4308078;-29,5885;-51,8217;50;45;36;37;42
Feliz;4308102;-29,4527;-51,30319999999;107;124;111;103;85
Flores da Cunha;4308201;-29,02619999999;-51,1875;312;339;306;326;281
Floriano Peixoto;4308250;-27,8614;-52,08379999999;39;36;26;35;20
Fontoura Xavier;4308300;-28,9816;-52,34449999999;165;162;157;140;132
Formigueiro;4308409;-30,00349999999;-53,49589999999;82;57;89;87;69
Forquetinha;4308433;-29,3792;-52,0917;34;27;27;18;40
Fortaleza dos Valos;4308458;-28,7986;-53,22489999999;68;64;71;62;22
Frederico Westphalen;4308508;-27,35859999999;-53,3958;338;352;326;394;347
Garibaldi;4308607;-29,259;-51,5352;348;357;332;323;313
Garruchos;4308656;-28,1944;-55,6383;53;56;61;48;59
Gaurama;4308706;-27,58559999999;-52,0915;77;90;77;74;71
General Câmara;4308805;-29,90319999999;-51,7612;87;95;85;101;86
Gentil;4308854;-28,4316;-52,0337;20;23;20;21;29
Getúlio Vargas;4308904;-27,8911;-52,22939999999;194;194;179;170;155
Giruá;4309001;-28,02969999999;-54,3517;248;266;240;253;196
Glorinha;4309050;-29,87979999999;-50,7734;95;79;90;111;89
Gramado;4309100;-29,3733;-50,87619999999;398;368;349;428;368
Gramado dos Loureiros;4309126;-27,4429;-52,9149;43;28;30;25;26
Gramado Xavier;4309159;-29,2706;-52,5795;61;59;48;56;41
Gravataí;4309209;-29,94129999999;-50,98689999999;2958;2821;2885;2859;2694
Guabiju;4309258;-28,5421;-51,6948;22;18;19;10;16
Guaíba;4309308;-30,10859999999;-51,3233;1178;1131;1100;1108;1008
Guaporé;4309407;-28,8399;-51,88949999999;323;320;312;290;302
Guarani das Missões;4309506;-28,1491;-54,56289999999;116;114;133;114;85
Harmonia;4309555;-29,5456;-51,4185;48;49;40;51;46
