variavel: Total;;;;
caminho: /Demografia/População/Censos Demográficos/Total;;;;
fonte: Núcleo de Demografia e Previdência;;;;
agrupador: Município;;;;
descricao: ;;;;
Município;ibge;latitude;longitude;2010 (-)
Ubiretama;4322343;-28,0404;-54,68589999999;2296
União da Serra;4322350;-28,7833;-52,0238;1487
Unistalda;4322376;-29,03999999999;-55,15169999999;2450
Uruguaiana;4322400;-29,76139999999;-57,08529999999;125435
Vacaria;4322509;-28,50789999999;-50,9418;61342
Vale do Sol;4322533;-29,59669999999;-52,6839;11077
Vale Real;4322541;-29,3919;-51,25589999999;5118
Vale Verde;4322525;-29,7864;-52,18569999999;3253
Vanini;4322558;-28,4758;-51,8447;1984
Venâncio Aires;4322608;-29,6143;-52,19319999999;65946
Vera Cruz;4322707;-29,71839999999;-52,5152;23983
Veranópolis;4322806;-28,9312;-51,5516;22810
Vespasiano Correa;4322855;-29,0655;-51,8625;1974
Viadutos;4322905;-27,5716;-52,02109999999;5311
Viamão;4323002;-30,0819;-51,01939999999;239384
Vicente Dutra;4323101;-27,16079999999;-53,4022;5285
Victor Graeff;4323200;-28,56319999999;-52,74949999999;3036
Vila Flores;4323309;-28,8598;-51,5504;3207
Vila Lângaro;4323358;-28,1062;-52,14379999999;2152
Vila Maria;4323408;-28,5359;-52,14869999999;4221
Vila Nova do Sul;4323457;-30,3461;-53,87599999999;4221
Vista Alegre;4323507;-27,3686;-53,4919;2832
Vista Alegre do Prata;4323606;-28,80519999999;-51,7946;1569
Vista Gaúcha;4323705;-27,29019999999;-53,6974;2759
Vitória das Missões;4323754;-28,3516;-54,50399999999;3485
Westfalia;4323770;-29,3744;-51,74629999999;2793
Xangri-lá;4323804;-29,8065;-50,0519;12434
