variavel: Total;;;;
caminho: /Demografia/População/Censos Demográficos/Total;;;;
fonte: Núcleo de Demografia e Previdência;;;;
agrupador: Município;;;;
descricao: ;;;;
Município;ibge;latitude;longitude;2010 (-)
Feliz;4308102;-29,4527;-51,30319999999;12359
Flores da Cunha;4308201;-29,02619999999;-51,1875;27126
Floriano Peixoto;4308250;-27,8614;-52,08379999999;2018
Fontoura Xavier;4308300;-28,9816;-52,34449999999;10719
Formigueiro;4308409;-30,00349999999;-53,49589999999;7014
Forquetinha;4308433;-29,3792;-52,0917;2479
Fortaleza dos Valos;4308458;-28,7986;-53,22489999999;4575
Frederico Westphalen;4308508;-27,35859999999;-53,3958;28843
Garibaldi;4308607;-29,259;-51,5352;30689
Garruchos;4308656;-28,1944;-55,6383;3234
Gaurama;4308706;-27,58559999999;-52,0915;5862
General Câmara;4308805;-29,90319999999;-51,7612;8447
Gentil;4308854;-28,4316;-52,0337;1677
Getúlio Vargas;4308904;-27,8911;-52,22939999999;16154
Giruá;4309001;-28,02969999999;-54,3517;17075
Glorinha;4309050;-29,87979999999;-50,7734;6891
Gramado;4309100;-29,3733;-50,87619999999;32273
Gramado dos Loureiros;4309126;-27,4429;-52,9149;2269
Gramado Xavier;4309159;-29,2706;-52,5795;3970
Gravataí;4309209;-29,94129999999;-50,98689999999;255660
Guabiju;4309258;-28,5421;-51,6948;1598
Guaíba;4309308;-30,10859999999;-51,3233;95204
Guaporé;4309407;-28,8399;-51,88949999999;22814
Guarani das Missões;4309506;-28,1491;-54,56289999999;8115
Harmonia;4309555;-29,5456;-51,4185;4254
Herval;4307104;-32,024;-53,39439999999;6753
Herveiras;4309571;-29,4552;-52,65529999999;2954
Horizontina;4309605;-27,6282;-54,3053;18348
Hulha Negra;4309654;-31,4067;-53,8667;6043
Humaitá;4309704;-27,56909999999;-53,96949999999;4919
Ibarama;4309753;-29,4203;-53,1295;4371
Ibiaçá;4309803;-28,0566;-51,8599;4710
Ibiraiaras;4309902;-28,37409999999;-51,6377;7171
Ibirapuitã;4309951;-28,6247;-52,51579999999;4061
Ibirubá;4310009;-28,63019999999;-53,0961;19310
Igrejinha;4310108;-29,56929999999;-50,79189999999;31660
Ijuí;4310207;-28,3881;-53,92;78915
Ilópolis;4310306;-28,9282;-52,12579999999;4102
Imbé;4310330;-29,9753;-50,1281;17670
Imigrante;4310363;-29,3508;-51,7747;3023
Independência;4310405;-27,8354;-54,1886;6618
Inhacorá;4310413;-27,8752;-54,015;2267
